map:example_map.json
T 6 4 | W
T 2 5 | W
W | S archer
W | T 6 1
W | W
W | W
W | T 7 1
S swordsman | W
W | W
T 0 9 | W
S archer | W
W | W
W | W
W | W
W | T 5 4
T 3 9 | W
F 8 9 | W
W | F 5 2
T 6 0 | S archer
S swordsman | W
T 8 8 | W
W | W
F 4 1 | F 2 4
W | F 5 6
W | W
W | W
S swordsman | W
F 5 1 | T 2 5
S swordsman | W
W | S swordsman
W | W
F 8 7 | W
T 9 9 | F 1 2
W | W
F 9 7 | W
W | W
F 8 3 | W
T 4 7 | F 8 0
