map:example_map.json
W | W
F 2 9 | W
W | W
T 5 0 | W
T 2 6 | W
T 6 9 | W
W | F 8 5
T 1 6 | W
W | T 4 4
F 1 9 | W
F 0 1 | T 1 5
W | F 8 1
W | W
W | S swordsman
F 2 0 | W
T 4 2 | W
W | W
S swordsman | S archer
W | W
W | F 7 5
W | W
W | W
W | W
W | T 3 5
W | W
W | W
W | W
F 4 0 | W
F 9 8 | S swordsman
W | T 5 1
W | W
W | W
S swordsman | W
T 5 1 | T 8 5
S swordsman | F 2 2
F 9 5 | W
W | W
S archer | F 5 5
W | W
S archer | S swordsman
W | W
W | W
W | T 0 9
T 9 0 | W
S archer | W
W | W
W | W
W | W
S archer | T 4 8
W | F 6 1
T 9 3 | W
T 4 3 | W
T 3 6 | W
F 4 3 | W
T 1 4 | F 9 3
W | W
W | F 0 8
F 0 7 | S swordsman
W | W
S swordsman | W
W | W
W | T 6 5
W | W
F 1 6 | W
W | W
F 0 5 | W
W | W
W | W
W | T 3 9
