map:example_map.json
W | W
W | W
W | W
S archer | S archer
W | W
W | S swordsman
W | W
S archer | W
W | W
T 0 2 | S swordsman
S swordsman | W
S archer | W
W | T 5 1
S archer | W
W | F 7 5
F 2 5 | F 7 0
W | W
W | T 8 9
W | W
W | W
W | W
S swordsman | W
W | F 7 6
W | W
W | W
W | W
F 4 7 | S swordsman
F 5 7 | W
W | F 8 8
W | W
W | W
W | W
W | T 5 1
W | W
W | S swordsman
W | W
T 1 7 | W
F 0 7 | W
W | T 9 4
F 3 0 | W
W | W
S swordsman | W
W | S swordsman
W | F 5 2
W | W
T 0 6 | W
W | T 4 5
W | T 6 8
W | S archer
W | W
W | W
W | T 5 4
W | W
W | T 7 9
T 1 4 | W
W | T 4 2
T 2 8 | W
W | F 5 9
S swordsman | S swordsman
F 2 1 | S swordsman
S swordsman | W
F 1 7 | W
T 3 3 | F 4 5
W | F 7 1
W | S swordsman
W | F 5 8
S archer | W
W | W
W | W
W | W
W | T 0 6
W | W
W | W
W | W
S swordsman | W
W | W
F 1 5 | W
F 5 4 | W
W | W
T 6 6 | W
S archer | T 4 9
W | F 9 7
T 1 3 | T 8 8
W | S swordsman
F 3 8 | W
W | S archer
W | T 6 8
F 2 4 | S archer
W | W
T 0 4 | W
W | T 2 2
W | W
W | W
W | F 2 1
W | S archer
W | W
T 8 5 | W
