W | W
W | W
F 1 4 | W
W | W
F 2 4 | T 3 1
W | W
W | F 2 5
F 5 8 | W
S swordsman | W
W | T 1 5
W | W
W | S archer
W | W
S archer | S archer
W | W
W | W
W | W
W | T 9 3
W | W
W | W
F 8 6 | S swordsman
W | F 4 2
W | W
W | S archer
W | F 7 6
W | W
S swordsman | W
W | W
W | W
W | W
W | T 8 6
F 4 7 | S archer
W | T 6 2
S archer | F 8 7
W | W
S swordsman | W
S swordsman | W
W | S archer
F 7 2 | W
W | F 3 0
W | T 4 6
W | W
W | W
W | W
W | S archer
F 3 9 | W
W | W
W | W
W | W
W | W
W | S swordsman
F 1 3 | W
W | W
T 4 2 | T 1 0
T 5 7 | W
T 5 8 | F 4 3
T 4 1 | W
W | W
F 2 3 | W
W | W
W | W
F 7 3 | W
S archer | W
W | T 4 6
W | W
