map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 3 7 | F 5 9
W | W
S archer | W
W | S swordsman
W | F 8 7
W | W
W | S swordsman
S swordsman | W
W | F 1 2
W | F 3 9
S swordsman | W
T 3 1 | W
W | W
S archer | T 0 2
S swordsman | W
S archer | S archer
S archer | F 6 5
W | W
W | W
T 7 0 | T 2 1
W | W
F 0 8 | W
S archer | W
T 7 2 | W
W | T 0 3
F 9 7 | W
S archer | W
W | F 5 4
W | W
W | F 1 0
F 5 2 | F 3 5
W | T 8 8
W | W
W | S archer
W | W
W | W
W | W
W | W
W | S swordsman
W | F 8 7
T 9 5 | W
W | W
F 3 3 | W
F 0 3 | S archer
W | S swordsman
W | S swordsman
W | W
W | W
W | S swordsman
W | F 7 4
F 6 6 | W
W | W
W | F 1 6
W | W
S archer | W
W | W
W | T 4 4
W | W
W | F 4 3
W | W
F 0 2 | T 4 0
W | W
T 2 2 | T 1 1
W | T 2 2
T 6 0 | W
W | F 4 2
W | W
T 5 2 | W
W | W
W | F 4 6
W | W
W | W
F 8 9 | W
T 6 2 | S swordsman
S archer | W
W | S swordsman
W | T 5 3
F 9 2 | T 6 6
W | F 0 1
S archer | W
W | S archer
W | T 7 3
T 2 8 | W
T 2 2 | F 5 8
W | S archer
W | S swordsman
S archer | S swordsman
T 3 0 | S archer
W | W
W | W
W | W
S swordsman | W
W | W
T 0 5 | W
W | W
W | F 4 4
W | W
W | W
W | F 5 1
W | W
F 9 4 | W
S swordsman | T 2 5
S archer | W
S swordsman | W
W | W
W | W
W | W
S swordsman | W
T 4 2 | W
T 3 2 | F 9 7
W | T 2 8
W | W
W | W
W | W
W | F 3 3
F 8 7 | W
W | T 2 3
W | F 7 5
W | W
S swordsman | W
F 4 1 | S archer
T 8 4 | S swordsman
W | W
W | F 5 8
F 9 0 | W
W | T 3 8
W | T 0 8
W | W
W | S archer
F 0 8 | W
W | F 1 7
W | W
W | T 0 3
T 2 1 | W
W | W
W | W
W | W
W | W
F 9 8 | S swordsman
S swordsman | W
W | W
W | W
F 7 5 | W
S archer | W
T 6 5 | T 1 2
S swordsman | W
W | S archer
S swordsman | W
W | W
W | W
S swordsman | S swordsman
W | F 0 4
W | W
W | S archer
W | W
W | W
W | T 1 1
F 9 6 | W
W | W
T 7 1 | W
F 8 1 | W
S swordsman | F 0 1
W | W
W | W
S archer | W
W | F 8 6
W | W
W | W
W | S swordsman
S swordsman | F 0 6
W | W
W | S swordsman
W | T 2 1
W | W
W | S swordsman
W | S archer
W | W
W | T 5 7
W | W
W | W
F 8 6 | T 4 6
W | W
W | W
F 6 7 | T 9 9
W | W
T 5 7 | F 3 7
W | W
W | W
W | W
T 1 8 | W
W | W
W | S swordsman
W | W
W | W
W | F 2 0
F 9 6 | T 7 1
W | T 0 9
W | F 2 8
W | W
S swordsman | S swordsman
W | W
S archer | T 4 7
W | W
T 0 8 | W
W | S archer
S archer | T 1 7
S swordsman | W
W | W
F 4 2 | S swordsman
F 1 8 | W
F 7 1 | W
T 1 9 | F 9 5
F 1 2 | W
W | W
F 0 4 | W
W | W
F 5 7 | F 1 9
W | W
W | S swordsman
W | W
S swordsman | W
W | S archer
W | W
W | W
T 0 2 | S swordsman
T 4 4 | T 5 0
T 8 6 | S swordsman
