map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | W
S swordsman | F 7 6
W | W
W | F 3 3
W | F 9 7
W | W
W | T 8 9
F 7 4 | F 7 6
W | W
W | T 6 5
W | W
W | W
W | W
W | S swordsman
F 6 8 | T 9 8
S swordsman | W
W | W
W | W
T 2 5 | W
W | S archer
F 9 1 | W
W | W
T 1 9 | F 4 8
W | T 8 6
S swordsman | W
F 7 7 | W
W | W
S archer | W
W | W
W | W
T 0 9 | W
W | W
W | F 3 9
W | T 9 4
W | T 9 2
W | F 3 3
F 3 3 | F 9 1
W | F 5 1
W | W
T 1 0 | F 1 0
W | T 5 8
W | W
W | T 0 6
W | W
W | F 7 9
S swordsman | W
T 3 2 | T 9 0
W | S archer
W | W
W | W
W | W
S swordsman | W
S archer | F 8 9
S archer | F 0 5
S archer | F 6 8
W | F 6 9
F 3 2 | W
W | F 5 8
