map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
W | S swordsman
W | W
F 0 4 | T 6 4
W | W
W | W
W | T 5 2
W | W
F 7 6 | W
W | T 5 6
S archer | T 4 9
W | F 3 5
F 7 3 | W
F 9 2 | W
S swordsman | W
W | W
W | W
W | T 5 2
W | W
T 7 5 | F 9 6
W | W
W | W
W | W
W | W
S archer | W
F 1 7 | W
W | W
S swordsman | W
W | F 0 7
W | W
W | W
W | W
S archer | T 7 7
W | W
W | S archer
F 9 6 | W
T 0 2 | F 1 9
F 4 3 | W
S archer | F 7 6
S archer | W
T 0 6 | W
T 3 7 | S archer
W | W
F 0 3 | W
W | W
W | W
W | W
W | F 6 3
W | W
W | W
F 2 6 | F 9 7
W | W
W | W
W | S swordsman
F 3 9 | W
W | S swordsman
W | S archer
W | W
W | W
W | W
W | F 5 7
S swordsman | W
W | T 5 3
W | W
W | T 9 3
T 8 2 | W
F 4 8 | F 0 0
W | S archer
W | W
W | W
T 0 5 | W
W | F 1 1
W | F 5 6
T 4 0 | W
W | W
T 5 1 | F 7 9
W | W
W | T 1 6
T 7 7 | F 2 4
W | T 5 9
W | W
W | W
W | W
W | F 7 2
F 8 7 | W
S swordsman | F 1 2
T 2 7 | W
W | T 1 4
W | W
S swordsman | T 6 2
W | W
F 1 1 | W
W | W
F 9 1 | W
W | W
T 5 5 | W
T 2 1 | W
T 2 3 | W
F 0 6 | W
W | W
W | F 4 1
W | S archer
W | W
W | S swordsman
W | T 4 5
W | S swordsman
W | W
W | W
S swordsman | S swordsman
W | T 4 4
W | W
F 4 1 | S archer
W | F 0 7
T 1 1 | W
W | W
T 8 8 | W
W | W
W | W
S swordsman | W
T 1 5 | W
F 2 8 | W
W | F 4 8
T 5 7 | W
W | W
S archer | W
W | T 1 3
F 3 0 | W
F 7 6 | S archer
W | F 2 5
W | W
W | W
W | W
S archer | W
W | W
W | S swordsman
S archer | W
T 7 5 | W
W | W
S swordsman | F 5 1
W | W
W | W
W | W
W | S swordsman
W | F 5 3
W | W
W | S archer
W | W
W | W
S archer | S swordsman
W | T 5 4
W | W
T 4 8 | W
T 9 7 | W
F 8 3 | S archer
F 3 6 | W
F 1 1 | S swordsman
W | W
W | W
S archer | W
W | T 2 9
W | S archer
W | W
T 3 1 | F 1 1
S archer | W
W | T 0 2
W | W
W | W
W | T 5 7
W | W
W | W
W | W
W | S archer
W | S archer
W | W
