map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
F 5 3 | F 3 6
S swordsman | W
W | S swordsman
W | W
W | W
W | W
W | W
W | T 5 7
F 3 4 | W
W | T 0 0
W | W
W | W
W | W
T 6 4 | T 6 0
S archer | W
W | F 4 1
W | W
W | W
W | W
W | T 2 3
W | W
S swordsman | S swordsman
W | S archer
W | W
F 6 1 | T 9 4
F 3 1 | S swordsman
W | W
F 1 5 | W
W | W
W | W
S archer | W
W | S swordsman
S archer | W
F 4 1 | T 6 0
W | W
T 7 9 | W
S archer | W
W | W
S archer | W
W | W
W | W
W | W
F 2 8 | W
W | W
F 3 2 | W
W | W
S archer | S swordsman
W | S swordsman
W | W
T 7 3 | S swordsman
W | F 4 7
S archer | W
W | S swordsman
S swordsman | W
W | W
W | W
S archer | W
W | W
W | W
W | T 0 5
W | W
W | W
W | F 7 4
W | W
F 8 6 | W
W | W
W | W
F 0 0 | W
F 9 3 | F 1 8
W | W
W | W
W | W
T 5 0 | W
S swordsman | W
F 2 9 | W
W | W
W | W
W | W
F 3 6 | W
T 5 3 | W
T 4 4 | W
F 2 8 | S archer
F 7 6 | W
S swordsman | W
W | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
S swordsman | W
T 5 2 | W
W | F 1 3
W | S swordsman
W | W
W | W
W | W
W | S swordsman
W | W
F 3 3 | F 9 1
W | T 8 8
W | S swordsman
W | W
W | W
S swordsman | W
W | W
W | T 0 3
W | W
W | S swordsman
W | W
W | W
W | F 7 0
W | S archer
W | W
W | S swordsman
W | W
S swordsman | T 3 0
S swordsman | W
S swordsman | F 7 6
W | T 5 8
W | F 3 6
T 9 1 | W
T 4 6 | S swordsman
F 5 8 | W
F 1 4 | S archer
W | W
S archer | F 8 4
W | W
T 5 0 | S swordsman
W | T 6 3
W | W
W | S archer
W | W
T 1 1 | S swordsman
T 4 5 | S swordsman
W | W
W | W
W | W
S swordsman | T 9 5
W | W
W | W
W | W
W | W
W | S archer
W | W
S swordsman | S swordsman
W | F 9 0
F 2 8 | W
W | W
F 4 0 | W
S swordsman | W
W | S swordsman
W | W
T 5 1 | W
S swordsman | T 2 9
W | W
W | W
F 5 9 | S swordsman
F 0 1 | W
W | T 9 5
W | W
T 6 0 | F 1 7
W | W
T 4 9 | W
W | W
W | W
W | S archer
W | T 5 6
W | W
W | W
W | W
W | F 8 5
F 8 9 | W
T 8 4 | W
T 1 3 | T 1 7
W | W
W | W
F 5 7 | W
W | W
S swordsman | W
W | W
W | T 6 5
W | W
W | F 8 6
W | W
W | W
W | W
T 0 3 | F 3 7
W | F 8 6
