map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | W
W | W
T 2 0 | S swordsman
T 9 8 | S archer
W | F 8 6
F 6 4 | W
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | F 1 0
F 8 0 | W
F 9 5 | W
T 1 9 | W
T 3 7 | S archer
F 8 0 | W
S swordsman | F 7 4
T 9 3 | S swordsman
W | W
W | W
W | W
S swordsman | W
W | F 0 8
S archer | W
F 4 5 | W
W | W
F 2 8 | S swordsman
S swordsman | W
W | W
W | T 0 7
W | W
S swordsman | W
W | F 5 0
W | W
W | W
W | S swordsman
W | F 1 0
W | W
W | W
F 6 0 | T 3 9
W | T 0 3
W | W
W | F 1 8
W | W
T 1 7 | W
W | W
S swordsman | W
W | T 8 9
W | T 7 9
W | W
T 3 2 | W
F 5 0 | S swordsman
W | W
S swordsman | W
W | F 4 9
W | S archer
W | W
S archer | W
F 0 2 | W
W | F 6 8
W | W
W | T 0 6
S swordsman | S archer
F 1 4 | W
W | T 5 5
W | W
W | F 0 6
W | S archer
W | W
T 0 8 | W
W | W
W | W
W | W
S swordsman | W
F 3 1 | F 5 9
W | S swordsman
S swordsman | W
S archer | W
W | F 5 8
W | W
S archer | W
F 3 4 | W
W | W
W | T 7 4
W | W
W | F 7 4
W | W
T 8 6 | W
F 5 8 | W
S swordsman | T 1 6
W | W
W | W
F 3 8 | W
W | T 8 6
W | W
F 1 1 | T 7 5
S swordsman | W
S swordsman | F 4 5
W | W
W | T 0 8
W | W
W | T 0 5
W | S archer
W | W
W | W
W | W
T 1 9 | W
W | F 7 5
W | W
W | S swordsman
S archer | F 0 6
W | W
W | W
F 7 4 | W
S archer | W
W | S swordsman
S archer | T 1 0
W | W
W | W
W | S archer
W | W
W | W
W | W
F 7 7 | T 5 3
W | S archer
F 4 5 | W
W | F 3 6
W | W
W | T 5 3
W | S swordsman
T 6 8 | W
T 1 1 | W
W | W
W | W
W | W
W | T 7 6
W | W
W | W
F 5 6 | F 0 0
