map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 6 7 | F 5 4
W | W
W | W
S archer | W
W | W
W | T 7 9
T 2 3 | W
W | F 6 7
W | W
W | W
W | S archer
W | W
F 4 6 | W
W | T 5 1
S swordsman | W
W | W
W | W
W | W
F 1 3 | W
W | S archer
W | W
W | W
W | T 7 4
T 5 5 | S swordsman
W | T 7 3
F 3 0 | S archer
S swordsman | S archer
F 4 3 | W
T 8 7 | W
T 5 8 | F 6 0
S archer | F 4 3
W | S swordsman
W | F 7 6
W | F 0 4
W | W
S swordsman | S swordsman
F 1 2 | T 8 7
W | F 6 1
T 5 7 | S archer
W | W
T 3 6 | W
T 6 3 | T 1 0
W | W
W | T 0 3
W | W
S swordsman | T 4 5
S archer | S archer
W | W
F 3 6 | W
S swordsman | W
F 9 8 | W
S swordsman | T 1 1
S swordsman | W
W | W
W | W
F 9 4 | F 8 8
W | W
W | W
T 3 2 | W
W | W
W | F 9 0
W | W
W | S archer
W | S swordsman
W | F 8 8
W | W
S swordsman | W
W | T 7 6
W | W
T 2 3 | T 2 8
W | W
W | T 9 8
S swordsman | W
S archer | F 5 8
W | W
S archer | W
W | W
W | W
W | W
T 2 2 | W
S swordsman | F 2 0
W | S archer
W | W
F 4 9 | W
W | W
W | F 8 4
F 3 3 | W
W | W
S archer | W
T 0 4 | W
F 2 6 | F 7 6
T 8 6 | F 0 9
W | W
W | F 1 8
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
F 9 0 | T 9 0
W | W
S archer | T 1 4
W | W
F 1 9 | W
W | W
W | W
W | F 7 4
W | W
W | T 7 9
W | W
W | F 8 1
F 1 9 | W
S archer | W
T 1 0 | W
W | F 0 2
W | W
W | S archer
W | W
W | W
T 3 5 | W
W | W
W | W
W | W
T 1 0 | W
T 0 6 | W
W | W
F 0 1 | W
W | S swordsman
W | W
T 5 5 | S swordsman
T 0 7 | W
W | W
W | F 5 9
T 6 8 | W
W | F 1 9
W | W
W | S archer
W | F 9 7
W | W
W | F 7 4
W | W
F 4 1 | W
W | T 1 5
W | W
W | W
W | W
F 0 5 | W
W | W
W | W
T 2 1 | W
W | W
S archer | W
W | T 5 0
F 6 2 | W
W | F 8 3
S swordsman | W
W | W
W | W
W | W
W | W
T 3 4 | W
F 5 0 | W
W | W
F 7 8 | W
S archer | W
S swordsman | F 4 7
W | W
T 8 4 | W
W | W
W | W
W | W
W | W
W | W
T 0 1 | F 5 8
W | W
W | S swordsman
W | F 5 2
W | F 9 7
S archer | W
W | F 9 8
F 9 1 | F 0 5
T 7 8 | W
W | W
S archer | W
W | W
T 7 7 | W
S swordsman | T 7 3
W | W
W | T 4 5
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | S archer
S swordsman | T 9 6
T 2 9 | W
W | S archer
W | W
W | W
F 3 4 | S archer
F 7 9 | W
W | W
W | W
W | T 5 3
W | W
W | S archer
W | W
F 4 6 | W
W | W
T 5 9 | T 2 8
W | W
W | S swordsman
T 5 1 | W
W | T 2 1
W | W
W | W
W | F 5 6
T 5 6 | W
S swordsman | W
W | W
W | S archer
S swordsman | F 1 9
W | F 9 4
T 2 5 | T 3 2
T 5 7 | W
W | F 0 8
W | T 3 2
W | W
W | W
W | S archer
W | W
S swordsman | W
S swordsman | W
W | W
F 4 5 | T 9 8
W | S swordsman
S swordsman | W
W | W
W | W
T 5 1 | W
W | W
W | W
W | W
T 1 2 | T 4 5
S archer | W
T 1 7 | W
W | S swordsman
S archer | T 5 2
W | S archer
W | W
W | S archer
W | W
W | W
T 9 9 | W
W | W
W | T 5 3
W | W
T 9 2 | W
W | W
W | W
F 5 4 | S swordsman
W | T 4 3
W | W
F 2 3 | T 6 1
W | F 8 9
W | W
W | S swordsman
W | W
W | W
T 6 7 | S swordsman
W | T 3 2
W | W
S archer | F 1 7
W | W
F 3 5 | W
T 1 3 | W
F 2 0 | W
W | T 5 1
W | W
W | F 2 9
S archer | W
W | W
W | T 3 1
W | W
W | F 0 0
W | W
W | W
S archer | W
S swordsman | F 4 9
W | W
W | W
W | W
F 7 9 | T 4 2
W | W
W | W
W | W
S swordsman | S archer
W | W
W | S archer
W | T 4 6
W | W
F 7 5 | W
W | W
S archer | W
T 1 1 | W
W | W
F 3 0 | W
W | T 1 1
W | S swordsman
T 3 1 | W
S archer | W
W | S swordsman
W | T 7 2
S swordsman | W
F 3 7 | T 0 5
W | S swordsman
W | W
W | W
W | T 9 5
T 1 2 | W
W | W
S swordsman | W
W | F 0 0
S swordsman | T 8 8
T 2 5 | W
S swordsman | W
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
W | T 3 4
W | F 0 1
W | W
W | W
T 6 5 | W
W | W
F 1 9 | W
W | T 4 8
T 5 2 | W
W | W
W | W
S swordsman | W
T 0 0 | W
W | W
W | W
W | W
F 1 7 | S archer
W | W
F 7 8 | W
W | T 8 5
S archer | S swordsman
F 8 4 | W
W | W
W | W
W | F 3 9
F 7 3 | W
W | W
W | W
S swordsman | W
T 6 1 | W
W | W
W | W
T 9 4 | T 0 0
S swordsman | F 0 4
W | W
W | T 2 8
W | W
S swordsman | W
W | W
T 1 5 | T 7 6
