map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
S swordsman | W
W | W
W | W
S archer | T 8 2
W | F 4 2
W | W
W | W
W | W
W | F 3 2
W | T 7 2
T 5 0 | W
W | W
W | W
S archer | W
W | W
W | T 9 8
T 0 3 | W
T 4 6 | W
W | W
F 7 7 | W
W | F 0 1
F 4 3 | T 3 8
T 4 2 | F 2 4
W | W
W | W
W | W
T 3 7 | W
W | W
W | T 2 2
W | W
W | W
W | W
T 4 6 | T 9 0
W | S swordsman
W | S archer
T 1 0 | W
W | W
W | W
W | W
S archer | S archer
T 2 4 | W
W | S swordsman
T 0 0 | W
T 8 1 | W
W | F 8 1
W | W
W | T 0 5
F 2 1 | W
F 8 1 | S swordsman
F 1 7 | W
T 6 1 | W
F 1 3 | W
T 6 5 | W
T 1 9 | W
F 7 9 | W
W | F 5 6
S swordsman | W
W | W
T 9 7 | T 3 5
T 2 1 | T 6 1
W | T 7 9
W | W
W | F 5 2
F 5 7 | T 1 8
F 1 6 | S swordsman
W | W
W | W
F 7 2 | F 0 3
S archer | F 8 8
S swordsman | W
W | W
W | W
W | S swordsman
W | W
S archer | S swordsman
W | S archer
W | W
W | W
W | T 7 9
F 1 7 | F 4 3
T 2 2 | W
W | W
S archer | F 6 1
F 1 3 | W
W | W
W | W
W | F 0 6
W | F 8 1
W | F 2 0
T 3 4 | W
W | S archer
W | W
W | T 6 4
W | W
S swordsman | T 1 2
T 0 0 | S archer
W | W
W | F 6 3
W | S swordsman
W | W
W | W
W | W
W | W
S swordsman | W
W | T 2 1
W | W
T 2 1 | F 6 4
W | W
T 6 4 | S swordsman
W | W
W | W
W | W
W | T 3 6
W | S archer
F 6 4 | W
W | W
F 3 4 | W
S archer | F 2 2
W | W
W | W
W | W
F 1 8 | W
W | F 4 9
F 4 3 | W
