map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 1 7 | T 0 6
S swordsman | W
W | W
W | W
W | W
F 9 5 | W
F 3 0 | W
W | W
F 0 6 | F 5 0
W | W
T 0 2 | W
F 7 6 | F 4 8
W | W
W | W
W | W
W | W
W | W
S swordsman | W
W | W
F 3 0 | W
T 6 3 | W
T 1 8 | W
W | T 7 3
S archer | F 3 9
S swordsman | W
T 5 3 | W
W | W
F 7 2 | F 9 4
W | W
W | T 2 8
W | W
F 9 1 | W
W | S archer
W | W
W | W
T 1 8 | W
W | S swordsman
F 9 3 | W
F 6 7 | W
F 7 9 | W
W | W
S archer | W
F 0 2 | W
S archer | T 6 4
S archer | W
W | T 7 7
W | W
W | F 6 0
F 4 9 | W
F 4 2 | W
S swordsman | W
T 5 6 | F 7 7
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
W | W
