map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
T 6 0 | W
T 9 9 | W
W | S archer
S swordsman | T 0 5
T 6 9 | S swordsman
W | W
W | W
W | T 2 3
W | S swordsman
W | W
W | F 4 2
W | T 3 8
T 2 0 | T 6 2
F 7 2 | W
W | W
W | W
W | W
W | W
W | W
T 6 3 | W
W | W
W | W
W | W
W | W
W | F 9 0
W | W
W | S swordsman
W | W
T 8 8 | W
S swordsman | T 6 7
W | W
S swordsman | W
F 9 3 | W
W | T 3 8
T 3 8 | W
W | S archer
W | T 4 9
W | W
W | W
W | W
F 8 9 | S swordsman
T 9 3 | W
W | W
T 6 7 | T 7 1
S swordsman | W
S archer | W
F 3 5 | W
T 5 5 | T 5 3
W | T 0 4
S archer | F 0 8
W | S swordsman
W | W
W | W
W | W
S archer | W
T 2 5 | W
F 0 2 | T 4 4
W | T 7 3
W | W
W | F 9 7
T 3 8 | W
T 3 8 | W
W | W
T 6 9 | W
W | W
W | W
W | W
W | W
W | W
W | T 6 3
S archer | W
T 2 5 | W
W | W
F 3 6 | T 1 0
W | F 9 3
W | W
W | T 8 1
W | S swordsman
T 0 0 | S archer
W | S swordsman
W | W
T 0 4 | W
W | F 3 6
T 5 8 | F 3 4
W | W
T 3 8 | W
S swordsman | W
W | W
W | S archer
W | W
W | T 9 8
T 0 5 | W
W | S archer
W | F 6 1
W | W
T 3 8 | S archer
W | W
W | T 9 1
W | T 4 4
W | S archer
F 2 9 | W
T 6 7 | W
W | S swordsman
T 4 0 | W
W | W
S swordsman | W
S swordsman | W
W | F 5 0
W | W
W | W
T 7 9 | F 5 0
F 0 4 | W
W | W
S archer | W
W | S swordsman
W | W
W | S archer
W | W
T 4 2 | W
F 4 6 | W
W | F 0 2
S archer | W
F 2 8 | W
S archer | T 7 4
W | S archer
F 9 5 | S archer
W | W
S archer | T 5 0
W | W
T 7 4 | S swordsman
W | W
W | W
F 6 8 | W
F 9 0 | F 4 7
F 4 5 | T 5 5
W | W
W | F 1 9
W | F 2 7
W | W
S swordsman | S archer
W | W
F 7 2 | W
W | W
W | T 6 4
T 8 1 | W
W | W
W | W
W | F 9 7
W | W
W | F 1 6
W | W
W | S swordsman
W | W
F 6 4 | W
S archer | T 3 7
W | W
W | T 8 8
W | T 5 2
