map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
S archer | T 6 6
T 2 4 | W
W | F 9 2
T 3 0 | S swordsman
T 9 6 | W
W | S archer
W | T 1 8
S archer | F 2 4
W | W
S archer | W
S swordsman | W
T 7 6 | W
W | W
W | W
T 9 9 | T 4 2
W | W
T 9 1 | W
W | F 1 6
F 0 1 | T 8 5
W | S swordsman
S archer | W
F 6 8 | W
S archer | F 1 3
W | W
W | W
W | W
W | W
T 2 7 | W
F 9 9 | W
S archer | W
T 7 0 | F 9 8
W | W
W | W
W | S archer
W | F 7 8
F 5 8 | W
W | T 2 7
W | W
W | W
F 9 1 | W
W | T 4 5
W | T 3 1
W | F 1 0
T 8 1 | W
S archer | W
W | F 1 5
W | W
S archer | W
W | W
S archer | S swordsman
W | W
W | W
F 5 4 | W
W | W
W | S swordsman
W | W
W | F 8 0
F 6 0 | W
S swordsman | S swordsman
W | W
F 2 5 | W
W | W
S archer | W
W | T 4 2
F 9 5 | W
T 2 8 | W
F 2 8 | W
F 6 0 | W
W | W
W | W
F 5 6 | T 0 2
W | T 0 1
W | W
W | W
F 7 0 | W
W | T 6 1
W | S swordsman
T 4 3 | S swordsman
S archer | W
W | W
F 5 1 | F 4 2
F 0 9 | W
S archer | W
W | T 2 1
S swordsman | W
S swordsman | W
W | W
W | W
W | W
F 1 6 | T 9 4
W | W
W | S archer
W | F 2 8
W | W
F 4 8 | W
W | W
W | T 3 0
S swordsman | T 2 2
W | W
W | F 9 3
F 5 0 | W
W | F 8 2
T 1 1 | W
W | S archer
W | S archer
W | T 8 9
W | W
W | F 6 7
W | S swordsman
F 3 5 | F 8 3
W | W
S archer | S archer
F 9 7 | W
F 6 4 | W
F 8 4 | W
W | W
S swordsman | T 9 5
W | W
F 8 9 | W
W | W
W | F 4 3
S archer | T 4 7
T 5 9 | W
W | W
W | S swordsman
W | W
W | W
W | W
W | T 8 0
W | W
S archer | W
W | W
F 3 0 | W
T 8 2 | W
S swordsman | T 0 3
W | W
F 1 9 | F 6 8
W | F 5 9
F 4 2 | W
F 3 9 | W
W | S archer
W | W
F 8 6 | W
T 4 8 | W
W | W
F 4 5 | T 1 9
W | W
W | T 3 9
T 0 3 | W
W | S archer
W | W
W | F 7 2
W | F 0 3
