map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
T 0 9 | W
S archer | F 9 8
W | W
F 3 6 | W
F 3 3 | W
W | W
W | T 5 7
T 9 9 | S swordsman
W | T 0 5
W | W
W | F 4 8
W | F 5 0
T 3 8 | S archer
W | W
W | W
W | W
W | T 3 6
W | F 1 6
F 1 5 | W
W | W
S swordsman | T 0 0
S archer | W
W | T 2 0
T 5 7 | F 4 1
W | S swordsman
W | T 2 0
W | W
W | S swordsman
T 2 2 | S swordsman
W | W
S swordsman | W
S archer | T 0 1
S archer | F 7 5
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | S swordsman
W | W
S swordsman | W
W | W
T 2 2 | W
F 1 3 | W
W | F 6 5
W | W
F 7 9 | W
W | T 6 2
F 3 7 | W
S archer | W
W | F 6 8
S swordsman | W
W | W
W | F 6 1
S archer | W
W | F 6 0
S swordsman | W
W | S swordsman
W | W
W | S swordsman
F 1 0 | W
W | F 8 0
W | S swordsman
T 1 1 | W
W | W
S archer | F 3 0
W | W
W | T 3 4
S swordsman | F 1 2
T 8 9 | W
T 6 4 | W
F 3 1 | W
W | W
S archer | W
F 5 0 | F 3 7
S archer | T 6 0
W | W
W | W
W | W
W | T 6 3
W | F 4 3
W | W
W | W
W | T 9 5
T 9 4 | T 9 3
F 3 1 | F 9 3
W | S swordsman
T 0 4 | W
W | W
T 5 3 | S swordsman
S archer | W
F 9 8 | W
W | W
W | F 2 8
W | W
W | T 4 9
W | S swordsman
T 4 9 | F 7 5
W | W
S swordsman | W
W | W
W | T 9 1
F 0 6 | S archer
W | W
W | T 0 5
W | W
W | W
S swordsman | W
S archer | T 2 4
W | W
W | S archer
W | W
W | F 4 6
W | S swordsman
W | W
W | W
W | W
W | W
S archer | T 1 6
W | T 5 1
W | W
W | W
W | W
F 7 1 | S archer
W | W
W | F 0 3
W | F 2 3
F 4 5 | W
W | W
W | W
W | W
S swordsman | T 4 6
W | W
W | W
W | S swordsman
T 2 6 | S archer
W | W
T 0 1 | W
W | W
W | W
W | W
W | W
S archer | W
W | S archer
W | W
W | T 3 3
W | W
W | W
T 8 1 | F 9 9
W | S archer
W | S archer
W | W
W | F 2 2
W | W
T 4 3 | W
W | F 1 8
W | W
T 4 4 | S archer
W | W
S swordsman | S archer
W | S swordsman
F 2 4 | W
T 6 0 | W
W | W
W | W
W | F 6 7
W | W
F 0 2 | F 8 9
W | W
T 9 6 | S swordsman
W | T 6 9
W | S archer
W | F 1 7
T 0 2 | S swordsman
W | F 4 0
T 8 1 | S swordsman
W | W
F 0 2 | S archer
S archer | T 2 9
