map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | W
W | F 9 7
F 4 3 | S swordsman
S swordsman | W
W | W
W | W
W | W
W | W
W | W
W | W
W | F 4 6
W | W
W | S archer
W | S archer
T 3 3 | W
T 4 2 | W
W | S swordsman
W | W
F 9 6 | W
S swordsman | W
W | F 8 2
W | T 1 8
W | W
T 4 7 | T 4 8
F 3 9 | F 1 9
W | T 8 5
F 4 7 | S archer
W | W
S swordsman | F 8 5
W | W
S swordsman | S swordsman
W | W
S archer | W
W | W
W | W
F 9 5 | W
S swordsman | W
F 4 5 | W
W | W
W | W
T 7 3 | W
W | S swordsman
F 7 1 | F 9 4
W | T 7 6
W | S swordsman
F 4 1 | T 6 8
W | W
S archer | W
W | T 7 5
S archer | S swordsman
W | S swordsman
W | W
W | W
W | F 5 0
T 8 3 | W
W | W
W | W
S archer | T 9 7
W | W
W | F 6 8
W | T 3 8
T 9 0 | S swordsman
W | S archer
W | W
S swordsman | F 2 0
W | W
W | W
F 5 9 | S swordsman
T 2 9 | W
W | W
W | W
W | T 7 4
W | W
S swordsman | W
F 1 7 | F 9 8
T 4 4 | W
T 9 6 | W
T 4 4 | W
W | T 7 0
W | S swordsman
S archer | W
T 6 4 | W
W | W
T 4 5 | W
S swordsman | S swordsman
W | W
F 0 6 | S archer
S archer | W
T 6 4 | W
S swordsman | W
W | W
W | W
W | W
T 9 4 | W
T 5 2 | W
W | S swordsman
W | W
T 4 8 | W
T 8 6 | W
F 4 3 | W
T 0 3 | T 6 3
W | W
S swordsman | W
W | W
F 7 9 | W
W | W
W | W
S archer | W
W | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | T 3 7
W | F 4 1
W | W
W | W
W | F 3 1
W | W
W | W
W | W
S archer | W
T 5 6 | S swordsman
W | S archer
W | T 0 1
T 5 2 | W
