map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
S archer | W
W | W
W | F 2 9
S archer | S swordsman
W | W
T 2 9 | W
W | W
S swordsman | T 3 6
W | S archer
T 8 8 | W
F 9 0 | W
T 2 6 | T 1 7
W | W
W | T 3 0
W | T 9 2
T 7 3 | T 2 9
W | T 8 8
W | W
W | S archer
W | S swordsman
W | F 3 2
S archer | F 1 0
W | T 7 4
F 3 1 | W
F 1 6 | T 3 7
F 9 3 | W
W | S archer
W | S archer
S archer | W
T 3 2 | W
W | W
W | S swordsman
S swordsman | W
T 9 9 | W
W | S archer
S swordsman | T 8 8
W | W
W | W
W | T 6 4
S archer | W
W | W
F 2 8 | W
F 0 4 | W
W | W
W | W
S archer | W
W | T 9 2
W | F 0 2
W | W
F 2 1 | F 8 0
W | W
W | W
F 5 3 | W
W | W
T 5 7 | W
W | T 9 6
W | S archer
W | W
W | T 2 4
F 2 8 | W
S swordsman | W
W | F 9 2
F 9 1 | W
W | W
W | S archer
W | F 8 2
W | W
T 8 6 | W
W | S archer
W | W
T 2 1 | W
T 1 4 | F 9 2
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
T 0 7 | W
