map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
S archer | W
W | T 0 3
W | W
T 0 4 | W
T 2 9 | S swordsman
W | F 3 5
W | F 1 8
W | W
W | S swordsman
W | W
W | W
W | W
F 3 0 | F 8 2
S archer | S archer
W | T 7 6
W | S archer
W | W
T 1 9 | W
W | W
W | T 8 2
T 9 5 | W
W | T 2 5
W | W
W | W
W | W
W | S archer
S swordsman | W
T 3 5 | W
F 5 0 | W
F 8 5 | W
W | W
W | W
W | T 3 2
T 2 9 | W
W | F 3 2
W | W
W | T 2 8
T 3 9 | W
W | F 1 6
W | W
W | W
W | W
W | W
T 5 2 | W
W | F 4 4
W | W
W | W
W | T 0 1
W | S swordsman
S archer | W
W | F 2 2
W | W
W | T 4 9
T 1 0 | W
W | W
W | F 7 4
