map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
W | W
F 0 5 | W
W | S swordsman
W | S swordsman
S swordsman | F 3 4
F 4 4 | W
W | W
F 1 1 | W
T 9 1 | W
W | S swordsman
W | W
W | W
F 5 6 | S swordsman
T 8 1 | W
W | S archer
W | S swordsman
S archer | W
T 9 0 | W
S archer | W
W | W
W | S archer
W | T 4 0
T 5 3 | W
W | W
W | T 4 4
S archer | W
W | S archer
W | S archer
S swordsman | W
W | W
F 5 7 | W
T 6 9 | W
T 9 7 | T 8 3
W | W
W | W
W | W
F 5 9 | W
F 8 9 | F 8 9
W | W
W | T 7 0
W | W
W | W
S swordsman | W
W | W
S swordsman | W
W | W
F 5 2 | W
W | W
T 9 7 | F 0 2
W | S swordsman
W | W
T 2 0 | W
S swordsman | W
W | W
W | T 3 6
F 8 2 | W
W | S archer
W | S archer
W | W
T 0 1 | S swordsman
W | T 2 3
S archer | S archer
F 5 0 | W
W | W
W | W
F 2 2 | W
W | W
W | F 6 7
W | S swordsman
W | T 0 8
W | F 1 7
W | F 0 2
T 9 4 | S swordsman
W | F 8 7
W | S archer
W | W
