map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 5 2 | S swordsman
W | W
W | S archer
W | W
W | T 3 2
W | F 0 0
S archer | W
W | W
W | W
T 7 5 | S swordsman
W | W
T 2 1 | W
W | W
F 3 8 | W
S archer | W
S archer | T 3 0
W | W
W | W
W | W
W | S archer
S swordsman | F 0 2
W | W
S swordsman | W
W | W
W | W
W | F 7 2
W | S swordsman
W | W
W | S swordsman
W | W
W | W
W | T 1 1
W | T 4 1
W | W
W | W
W | W
W | W
W | S swordsman
T 7 7 | W
W | W
W | W
F 2 0 | W
S swordsman | W
T 5 5 | F 6 0
T 8 2 | W
T 2 6 | W
T 9 9 | S archer
W | T 7 7
S swordsman | W
W | W
W | W
W | W
W | T 7 9
W | W
W | T 9 2
T 0 7 | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
F 0 9 | W
W | W
F 4 3 | W
W | W
W | F 1 3
F 2 2 | W
W | F 1 0
T 9 1 | S archer
W | W
W | W
W | F 8 1
F 1 5 | W
F 0 1 | W
W | W
S archer | W
W | F 2 9
W | S archer
W | W
W | W
S archer | W
W | W
S swordsman | W
W | W
W | W
W | W
F 7 5 | W
W | W
W | W
S archer | W
W | W
W | W
T 7 8 | W
W | W
S archer | W
W | W
S archer | S archer
F 7 3 | F 9 5
T 3 6 | S archer
W | T 7 4
W | W
W | S swordsman
S archer | W
W | W
F 7 2 | W
W | F 0 4
S swordsman | W
W | S swordsman
W | W
W | W
S swordsman | W
T 7 9 | S archer
W | W
W | W
S archer | S swordsman
W | W
W | S swordsman
W | W
W | W
T 5 2 | W
F 5 8 | T 3 6
S archer | W
T 2 9 | F 9 7
W | W
F 0 5 | F 7 3
W | T 2 3
W | F 0 6
S archer | S swordsman
W | F 4 3
S swordsman | T 2 8
T 7 0 | W
S swordsman | S swordsman
W | W
T 1 3 | T 0 9
W | W
W | T 0 1
W | F 1 7
W | W
W | F 2 0
S swordsman | W
W | W
W | W
W | W
W | T 1 6
W | W
T 6 2 | W
W | W
W | W
F 6 4 | W
W | W
F 5 2 | S archer
T 3 4 | W
W | F 6 4
W | W
W | S archer
W | T 0 9
S archer | W
W | W
F 5 1 | T 9 2
W | W
W | W
W | W
W | W
T 6 5 | F 3 4
W | W
W | W
W | F 2 8
W | T 3 1
W | W
W | T 1 4
W | W
W | W
F 6 5 | W
W | W
W | W
W | W
W | S swordsman
S swordsman | W
W | W
W | T 6 6
S swordsman | F 4 9
T 9 9 | W
W | S archer
S archer | F 5 1
W | W
T 6 4 | W
W | W
W | W
T 5 2 | W
T 8 7 | W
T 3 3 | S archer
W | S swordsman
W | W
W | F 6 2
W | W
W | W
T 9 0 | T 6 8
W | W
W | T 1 0
W | F 0 0
W | W
T 6 9 | T 4 5
T 5 0 | W
W | W
T 1 6 | W
W | T 0 8
T 6 8 | S archer
W | F 6 8
W | F 2 2
W | T 0 5
W | W
W | W
W | W
S archer | S swordsman
W | W
W | F 1 2
W | F 6 0
W | T 9 8
S swordsman | W
S swordsman | F 8 0
S swordsman | W
W | S archer
S swordsman | S archer
F 8 7 | W
W | W
T 2 7 | W
W | W
W | W
S archer | W
W | S archer
S archer | W
T 1 2 | W
W | W
T 3 6 | W
W | W
W | W
W | T 9 7
W | S swordsman
W | S swordsman
T 6 5 | W
W | F 6 0
W | W
W | W
W | W
W | F 2 1
W | W
W | W
F 1 6 | W
W | W
W | W
F 8 9 | W
W | S archer
T 2 2 | T 1 6
W | W
S swordsman | W
W | W
S swordsman | W
W | F 9 8
W | W
F 4 1 | W
W | W
W | W
T 4 4 | T 5 2
T 9 7 | T 6 7
W | F 0 2
W | W
F 6 7 | W
S archer | W
W | W
W | S swordsman
W | T 7 6
W | F 8 6
T 7 2 | W
W | W
W | S archer
F 4 6 | T 5 5
T 6 7 | W
W | W
W | W
S archer | S archer
W | W
S swordsman | S archer
W | F 0 6
F 9 3 | W
F 0 7 | W
S swordsman | W
W | S archer
W | T 8 9
F 9 1 | F 0 3
W | W
