map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | S swordsman
F 9 4 | S archer
S archer | W
T 3 6 | W
S swordsman | W
W | W
W | W
F 3 8 | W
S swordsman | W
W | T 5 5
F 7 0 | S swordsman
S swordsman | W
W | S archer
W | W
W | W
W | W
W | T 1 9
W | F 2 9
F 9 3 | W
W | S archer
W | T 4 1
W | W
S archer | W
W | W
W | W
W | S swordsman
W | T 4 2
W | T 6 8
W | W
W | F 1 8
W | T 9 2
W | W
T 4 0 | W
T 2 1 | W
T 0 2 | W
T 8 8 | F 4 7
W | W
T 4 1 | W
F 8 4 | F 2 7
W | F 3 4
W | W
W | W
W | F 2 2
W | W
F 8 5 | W
T 2 1 | W
S archer | W
W | W
W | F 6 0
T 1 0 | W
T 2 2 | W
W | W
W | W
F 0 3 | W
W | W
W | F 3 7
S archer | W
S archer | T 1 9
W | W
S archer | S archer
W | F 2 4
W | W
W | S archer
W | W
S swordsman | W
F 9 3 | W
W | W
W | T 6 2
W | T 6 7
T 2 1 | T 4 9
T 9 3 | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
W | W
F 6 8 | W
F 1 9 | W
W | W
W | T 6 8
F 1 4 | S swordsman
W | T 0 2
W | W
W | S swordsman
W | W
W | W
T 3 6 | W
W | F 3 2
W | W
W | T 9 6
T 2 9 | W
S swordsman | W
W | F 8 5
T 0 5 | W
W | W
W | W
S archer | W
F 6 6 | W
T 1 5 | W
F 2 0 | S archer
S archer | W
S swordsman | T 0 8
W | F 2 6
W | W
T 2 6 | W
W | T 1 1
W | W
W | W
W | W
W | W
W | W
W | S archer
W | S archer
W | T 6 9
F 3 0 | W
T 7 3 | T 6 2
S archer | W
W | S swordsman
W | W
W | T 9 4
W | W
W | W
W | T 7 2
W | W
W | T 0 7
S archer | T 1 5
