map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
F 9 0 | S archer
T 5 7 | W
F 0 9 | W
S archer | W
F 9 8 | W
S swordsman | T 6 6
F 1 2 | T 5 6
W | W
T 5 5 | W
W | F 6 1
S archer | W
T 8 0 | W
F 1 1 | F 3 7
W | S swordsman
W | W
W | T 8 2
F 6 3 | W
W | W
W | W
W | W
T 0 6 | W
F 7 2 | W
W | T 8 6
S archer | W
W | S archer
W | W
W | S archer
W | W
W | F 5 8
S archer | W
S swordsman | W
T 9 6 | T 4 2
S archer | W
W | W
F 3 9 | F 7 8
T 6 5 | W
W | W
W | W
S archer | W
W | S archer
W | W
T 5 1 | S swordsman
S swordsman | S swordsman
W | W
W | W
W | W
F 1 0 | W
T 0 1 | T 0 6
S archer | W
W | W
W | T 0 7
F 7 6 | F 6 1
S swordsman | W
W | W
W | F 0 8
W | W
W | S archer
W | F 9 7
W | T 6 5
W | F 5 1
S archer | W
W | W
W | W
W | F 6 8
T 9 8 | W
W | W
W | T 1 6
F 0 6 | F 4 4
T 9 2 | S archer
W | W
W | T 9 0
W | W
S archer | W
W | W
T 5 1 | S archer
W | T 8 9
T 6 4 | S swordsman
W | W
W | W
W | W
W | W
T 8 5 | T 4 4
W | F 1 7
W | W
S swordsman | S swordsman
W | W
F 9 6 | W
S archer | W
S archer | F 4 1
W | W
S archer | W
W | F 5 3
F 0 6 | W
W | W
S swordsman | S archer
T 5 5 | S swordsman
W | W
W | W
W | W
