map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
W | T 9 1
W | T 0 7
W | F 1 7
W | T 3 2
W | F 5 5
F 3 1 | W
F 6 5 | S swordsman
F 9 7 | W
F 6 7 | W
T 1 9 | T 3 1
F 0 4 | W
S archer | F 0 9
W | W
S archer | T 8 1
W | S swordsman
F 6 1 | W
W | W
W | W
F 4 2 | W
W | W
S swordsman | T 5 2
S archer | T 6 2
F 0 9 | S archer
F 7 6 | S archer
F 6 7 | F 4 9
S swordsman | S archer
T 8 3 | W
W | T 1 1
T 2 1 | W
W | W
W | T 6 3
F 3 3 | W
F 8 0 | S archer
F 7 3 | W
W | W
F 8 6 | W
F 8 8 | W
W | F 4 4
F 8 4 | F 8 4
W | S swordsman
W | W
F 7 2 | W
S swordsman | F 4 6
F 0 0 | W
W | T 2 6
W | W
F 2 4 | W
W | W
W | S swordsman
W | W
W | W
W | W
T 8 5 | T 2 5
W | W
T 5 0 | S archer
W | W
W | F 5 3
S swordsman | W
W | F 4 5
W | W
S swordsman | W
F 7 1 | T 1 5
F 0 9 | S archer
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | T 0 7
T 2 3 | W
T 8 6 | F 9 9
W | S swordsman
T 4 6 | W
F 8 9 | W
F 7 5 | W
S swordsman | W
W | W
F 4 0 | W
W | W
W | T 4 6
W | W
W | W
W | T 2 6
W | S archer
W | W
W | T 1 1
W | W
W | T 6 3
T 0 8 | W
F 8 1 | W
W | W
F 0 0 | F 3 6
W | S archer
W | F 4 3
W | T 5 9
W | W
F 7 3 | W
W | W
T 2 1 | W
W | W
T 4 4 | W
W | W
W | W
W | S swordsman
W | S archer
T 2 8 | T 8 5
W | W
W | T 3 2
W | W
W | W
W | W
W | W
