map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
W | S archer
W | T 8 0
W | T 2 9
W | S swordsman
S swordsman | W
W | T 6 4
W | W
T 5 7 | W
W | T 4 9
W | W
W | W
W | W
W | W
W | F 3 8
W | W
T 6 3 | W
S swordsman | T 7 2
W | W
F 3 4 | W
W | W
S swordsman | W
W | S swordsman
W | W
T 2 3 | W
W | F 2 1
T 2 4 | T 5 7
W | T 3 4
W | W
W | F 6 4
W | T 1 9
W | W
W | T 3 2
W | T 3 8
W | W
T 5 3 | W
W | T 9 4
W | T 9 0
T 1 1 | S swordsman
W | W
W | T 6 6
W | F 6 7
T 5 4 | T 7 2
W | T 6 9
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | T 6 5
W | W
W | W
W | S archer
W | W
W | W
S swordsman | W
T 1 0 | W
W | F 3 6
W | F 7 7
W | W
W | W
S archer | W
S archer | S archer
F 0 4 | S swordsman
W | W
W | S swordsman
W | W
T 3 5 | W
W | T 5 2
W | W
W | W
W | W
W | W
W | W
W | W
S archer | W
W | W
W | T 5 3
W | W
W | W
F 6 0 | W
W | W
F 9 7 | S swordsman
W | S archer
W | T 4 6
W | T 2 5
W | W
W | W
W | S swordsman
T 2 5 | W
W | S archer
F 7 7 | W
T 6 3 | W
W | S swordsman
W | W
W | W
W | W
W | W
W | T 2 0
T 5 5 | W
T 4 7 | S archer
W | W
S archer | S swordsman
