map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
W | W
W | F 0 1
T 0 2 | T 7 0
W | W
W | W
W | S archer
W | W
W | W
W | F 2 1
S swordsman | W
W | W
W | T 3 7
S swordsman | W
W | W
W | W
W | W
W | W
W | W
S archer | T 5 6
S archer | W
F 5 1 | F 8 1
W | F 7 0
S swordsman | W
F 8 3 | W
W | W
W | F 0 3
W | W
W | W
F 9 1 | W
F 7 3 | W
W | W
W | W
T 6 8 | W
T 8 9 | W
S archer | W
T 8 5 | S swordsman
W | F 4 7
W | T 9 8
W | T 3 1
W | S swordsman
W | W
W | S swordsman
W | W
W | W
T 0 7 | S archer
W | S archer
F 5 9 | T 2 0
W | S swordsman
W | F 4 9
W | W
T 5 3 | W
W | W
S swordsman | W
W | W
F 8 2 | W
W | T 5 5
T 9 6 | W
W | W
T 5 4 | S swordsman
W | W
S archer | T 1 2
F 0 8 | T 4 9
W | W
S archer | S archer
T 1 9 | T 4 0
W | W
W | S swordsman
W | W
W | T 6 5
W | T 5 1
T 1 2 | W
W | W
T 6 4 | T 9 3
W | W
W | W
W | W
W | W
W | W
W | W
W | F 9 9
W | W
W | F 0 9
W | W
W | W
F 2 9 | W
W | W
S swordsman | W
T 9 8 | W
W | F 5 5
W | W
F 7 8 | T 8 0
S archer | T 5 0
W | W
W | F 8 3
W | F 0 0
W | W
W | F 4 6
F 4 9 | T 5 6
F 9 1 | W
T 3 4 | T 5 8
W | F 8 6
W | W
F 3 7 | T 4 3
T 6 6 | W
W | W
W | W
W | W
W | S archer
W | F 4 6
W | T 7 8
