map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
W | W
W | S archer
W | W
W | S archer
T 6 3 | F 8 0
S archer | W
W | W
W | F 4 9
W | W
W | W
T 6 4 | W
W | W
W | W
W | F 3 5
W | W
W | W
F 0 1 | W
F 7 7 | W
W | F 5 8
W | W
W | W
W | F 1 3
W | W
W | W
W | S archer
F 3 0 | S archer
W | T 6 8
W | T 4 1
W | W
S swordsman | W
T 9 2 | S archer
W | W
W | W
W | W
W | W
S archer | W
W | T 4 5
S swordsman | W
W | W
S archer | W
W | W
W | W
T 8 8 | W
T 9 3 | W
W | F 5 2
W | W
T 5 6 | F 7 9
F 4 6 | W
F 4 5 | F 5 3
T 6 3 | W
W | W
S archer | W
T 8 6 | S archer
S archer | W
T 2 8 | W
F 6 8 | F 7 3
F 6 8 | T 7 8
T 4 7 | W
S swordsman | W
W | W
T 3 4 | W
W | W
S archer | W
W | W
W | W
F 3 2 | W
W | W
W | W
W | W
W | F 8 6
W | F 7 4
W | T 5 4
W | W
T 8 0 | W
W | S swordsman
S swordsman | F 9 1
T 6 2 | W
W | W
S archer | F 9 3
W | F 8 5
W | F 7 3
W | W
W | F 8 9
W | W
T 9 2 | T 4 6
W | W
W | W
W | W
