map:duuuza.json
player1:bot.py
player2:bot_python2.py
F 2 1 | W
W | S swordsman
W | S archer
T 8 7 | W
F 1 5 | T 0 4
S archer | W
T 4 5 | S archer
W | W
F 3 0 | T 0 4
S archer | W
S archer | F 2 8
F 3 8 | W
W | W
W | W
W | W
T 1 9 | W
W | W
F 7 8 | W
W | W
F 4 2 | W
W | F 0 9
W | W
S swordsman | W
W | W
S archer | F 5 5
W | W
W | W
W | W
W | W
F 5 2 | W
F 7 6 | T 3 9
S swordsman | W
S swordsman | W
W | W
W | W
F 2 1 | W
W | T 9 3
W | F 3 8
T 3 7 | F 0 8
S archer | F 4 8
S swordsman | F 0 4
W | W
T 3 1 | F 3 1
W | W
W | T 3 2
W | W
W | W
W | T 9 0
W | W
F 7 1 | W
S swordsman | W
W | W
T 9 7 | W
W | F 9 1
W | F 2 7
S swordsman | W
W | W
S archer | T 5 8
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
W | W
S archer | T 9 9
W | W
W | W
F 7 8 | S archer
F 0 2 | S archer
W | T 5 7
W | W
