map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
T 8 9 | T 8 1
W | W
W | S swordsman
S swordsman | W
W | F 8 5
T 8 9 | F 2 2
S swordsman | W
W | S archer
S archer | W
S archer | W
W | W
W | S swordsman
W | W
S archer | W
W | S archer
W | W
W | W
W | W
W | F 0 9
W | W
S swordsman | F 3 2
W | W
W | F 1 5
F 8 5 | W
S archer | W
W | T 5 7
W | W
W | W
W | W
W | W
W | W
W | W
W | W
T 3 4 | W
W | W
S swordsman | W
W | S archer
W | S swordsman
W | W
W | W
W | W
W | W
T 3 2 | W
W | W
F 0 3 | W
W | T 7 4
T 2 3 | F 2 6
W | F 6 3
W | F 9 8
S swordsman | W
W | S archer
T 0 7 | F 3 6
T 5 0 | F 1 5
W | T 5 3
W | T 7 0
W | F 5 7
F 9 0 | F 1 9
T 5 1 | W
W | W
W | W
S archer | F 6 7
W | T 4 1
W | T 4 6
F 4 0 | T 8 1
W | W
