map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | W
W | W
S archer | W
W | W
W | W
W | F 8 6
W | W
W | S swordsman
S swordsman | F 3 6
F 1 8 | W
W | W
S archer | W
S swordsman | F 1 9
W | W
T 7 0 | S archer
W | T 9 5
W | T 4 2
T 2 4 | W
F 8 1 | W
F 5 7 | W
W | T 8 9
W | W
W | T 9 3
W | F 5 2
S archer | W
S swordsman | W
W | W
W | T 8 7
W | W
S archer | S swordsman
W | W
W | W
W | W
W | F 5 7
W | W
W | W
W | W
W | S archer
T 3 2 | W
W | W
W | F 8 5
W | W
W | W
S archer | W
T 8 8 | T 8 9
W | W
W | W
F 2 0 | F 4 1
W | W
T 4 2 | W
W | T 8 3
W | W
W | W
W | W
W | W
