map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
T 9 8 | W
W | F 8 2
W | W
S archer | S archer
T 5 3 | F 9 1
F 2 1 | F 8 7
W | S archer
W | W
F 3 6 | T 2 2
T 2 8 | W
F 2 8 | W
W | W
F 6 0 | W
S swordsman | T 2 1
F 5 2 | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | F 5 0
F 3 9 | W
W | W
W | S swordsman
F 4 9 | W
F 1 4 | T 1 0
T 3 4 | W
T 5 9 | F 4 9
T 9 1 | T 0 1
W | F 4 7
W | W
W | W
W | W
F 4 7 | W
W | W
W | W
W | S swordsman
W | T 7 1
W | T 8 6
S archer | S swordsman
W | F 2 9
W | S archer
W | W
W | W
W | W
W | W
W | W
W | S archer
W | T 6 2
S swordsman | F 1 0
S swordsman | W
T 1 7 | F 7 9
W | W
W | W
W | W
W | W
W | W
F 2 8 | F 6 0
S swordsman | W
F 2 3 | S archer
F 3 9 | W
W | S swordsman
T 1 6 | F 5 4
W | W
W | F 3 4
W | F 5 9
W | W
S swordsman | W
F 5 7 | W
W | S swordsman
W | T 6 9
W | W
T 2 5 | W
W | W
W | W
S swordsman | W
T 0 0 | W
F 2 5 | W
W | W
S archer | W
S swordsman | W
W | F 2 3
W | W
F 9 5 | W
W | F 7 0
W | W
F 7 7 | W
W | F 4 2
W | S swordsman
W | W
T 5 3 | W
W | W
T 5 9 | T 8 7
F 2 3 | T 4 7
W | W
W | S swordsman
W | T 9 8
F 3 6 | S swordsman
W | F 6 7
F 5 5 | W
S swordsman | W
W | W
W | F 8 9
S archer | W
W | S swordsman
W | W
W | T 1 3
W | F 3 2
W | W
T 9 7 | W
W | F 8 9
W | F 1 5
W | T 7 9
W | S archer
S swordsman | W
W | W
F 3 0 | W
T 1 5 | W
W | W
F 0 5 | W
W | W
T 3 7 | T 5 1
W | W
W | T 4 3
F 5 7 | S swordsman
T 8 5 | F 1 9
W | W
W | W
W | S swordsman
F 5 1 | F 2 5
S archer | W
T 7 4 | W
W | F 1 9
W | W
F 7 2 | W
W | W
W | W
F 2 5 | T 1 8
W | W
W | F 7 9
W | W
S archer | W
F 0 3 | F 6 8
W | W
W | W
W | W
W | T 0 1
