map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | F 6 5
W | W
T 8 4 | W
W | W
W | S swordsman
W | W
W | S archer
W | W
W | W
T 5 4 | S archer
S swordsman | W
W | S archer
T 4 9 | W
W | S swordsman
W | W
W | S archer
W | F 1 5
S archer | T 4 5
W | W
F 8 7 | W
T 7 3 | F 1 6
W | S swordsman
W | W
W | T 7 8
T 5 3 | W
W | W
T 3 9 | W
T 2 7 | S swordsman
W | W
T 5 2 | W
F 3 2 | S archer
S archer | S archer
W | S archer
W | W
W | T 4 9
S swordsman | W
W | W
T 6 1 | T 1 9
W | W
W | W
W | W
W | F 7 5
F 5 2 | F 5 8
W | S swordsman
T 2 4 | F 8 3
W | W
W | W
F 4 2 | W
W | F 1 6
S archer | W
W | F 9 5
F 3 9 | F 1 9
T 3 6 | T 4 4
S swordsman | W
T 2 2 | T 6 4
S swordsman | W
W | W
T 4 2 | S swordsman
W | W
W | S swordsman
W | S swordsman
W | F 2 2
T 8 6 | W
T 4 5 | W
T 3 9 | T 1 7
W | T 3 7
T 2 3 | S archer
W | T 9 0
