map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | S archer
W | F 7 9
T 8 3 | W
W | W
W | S archer
W | W
W | W
W | W
S archer | W
W | W
W | W
W | F 2 5
W | W
S swordsman | T 6 6
T 1 5 | T 3 7
W | F 8 6
W | S archer
W | W
W | W
T 4 7 | W
T 1 2 | W
W | T 1 5
S archer | W
W | W
W | W
S swordsman | S archer
W | W
W | W
W | W
T 6 1 | W
W | W
T 9 1 | W
S archer | W
W | W
W | W
S swordsman | W
W | W
F 7 3 | W
W | W
W | F 6 0
W | W
S archer | F 2 9
W | W
T 0 4 | W
W | W
S archer | W
W | F 4 8
S archer | W
T 2 5 | W
W | W
W | W
F 8 1 | F 9 8
W | W
W | S swordsman
T 2 9 | W
W | S archer
S archer | W
T 5 7 | W
W | W
W | W
W | F 5 0
W | W
S archer | W
W | S archer
W | W
W | W
F 8 7 | T 8 6
W | W
W | W
W | F 0 4
W | W
W | W
W | W
F 3 8 | S archer
T 2 8 | W
S swordsman | F 9 9
W | S archer
F 5 0 | W
S swordsman | W
F 9 6 | W
W | W
W | W
W | W
W | S archer
W | W
W | W
S archer | T 3 2
S swordsman | W
W | W
W | W
W | W
W | W
W | W
F 6 4 | T 0 0
W | W
F 2 2 | W
S archer | F 4 0
S archer | W
W | W
W | W
W | W
W | W
S archer | W
W | W
T 1 1 | S swordsman
F 4 5 | W
W | W
W | T 1 1
S archer | W
W | W
W | F 9 4
W | S archer
F 7 2 | S swordsman
F 0 0 | T 1 1
W | W
W | W
W | S archer
F 5 8 | W
W | W
W | W
W | W
W | W
W | W
F 4 0 | T 9 8
W | S archer
W | T 3 4
F 6 7 | W
S archer | W
W | W
W | W
W | W
W | W
S swordsman | T 2 9
S archer | W
W | W
W | S swordsman
S swordsman | W
T 9 3 | S swordsman
W | W
W | W
W | W
W | W
W | S swordsman
T 7 6 | T 8 8
F 5 2 | W
W | F 2 0
W | F 6 8
T 0 4 | W
W | W
W | W
S swordsman | W
W | F 5 1
S swordsman | W
S swordsman | S swordsman
W | W
W | W
T 4 9 | T 5 4
S archer | F 6 2
W | W
S archer | W
W | W
W | W
W | W
F 5 8 | W
W | W
W | S archer
W | T 4 7
W | F 9 1
F 8 2 | W
S archer | W
W | W
W | W
T 0 1 | T 3 2
W | W
S swordsman | F 2 5
W | W
T 5 1 | W
W | S swordsman
W | W
W | W
W | W
S swordsman | W
W | W
F 1 0 | F 3 4
W | T 0 9
W | F 8 4
W | S swordsman
S archer | T 9 9
T 1 8 | T 5 9
F 1 0 | W
W | W
S swordsman | W
W | W
T 0 4 | T 5 8
S swordsman | W
W | W
W | W
W | W
F 7 8 | T 6 3
W | W
W | W
W | T 6 4
W | W
W | T 3 6
