map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
S archer | W
W | W
W | W
T 5 5 | S archer
S archer | W
F 0 9 | F 5 8
T 7 6 | W
S swordsman | W
S swordsman | W
F 2 6 | W
W | W
W | T 2 9
S archer | W
T 7 9 | W
W | F 1 5
W | W
W | W
F 2 9 | W
F 3 0 | W
W | F 8 4
F 5 6 | W
W | S swordsman
W | W
W | W
S archer | W
W | T 1 6
W | S swordsman
W | T 5 0
T 9 9 | T 1 1
W | W
T 0 9 | S swordsman
W | W
F 0 2 | T 5 0
T 7 9 | W
F 8 3 | W
W | W
W | W
S archer | W
W | W
W | W
S archer | W
W | W
W | W
S swordsman | S archer
S archer | W
W | W
W | S swordsman
W | T 6 3
W | F 3 1
S archer | W
W | S swordsman
W | S swordsman
T 9 7 | F 8 1
W | T 0 7
W | T 4 3
W | W
S archer | S swordsman
W | W
W | W
W | T 0 1
F 6 2 | W
W | W
F 4 8 | W
F 8 0 | W
W | F 1 2
W | T 8 1
W | W
T 9 6 | T 6 3
F 7 1 | W
F 2 9 | W
W | T 4 9
W | T 5 7
W | F 1 0
T 0 9 | W
S archer | F 8 5
W | W
F 8 0 | W
W | W
S archer | F 9 5
W | W
W | T 3 0
T 9 2 | W
W | W
S archer | T 4 1
W | W
T 2 4 | W
F 9 6 | S archer
F 6 8 | W
S archer | S swordsman
S archer | W
W | S archer
T 1 2 | W
S archer | W
W | T 3 2
W | W
W | W
W | F 3 3
S archer | W
T 9 3 | W
F 3 8 | W
W | W
W | W
W | S archer
W | W
W | T 8 1
W | F 7 7
W | S swordsman
W | W
W | W
S archer | W
W | W
W | T 8 9
F 6 0 | W
W | W
W | W
W | W
W | S archer
S archer | S swordsman
W | W
T 4 7 | W
W | W
W | S archer
W | F 6 8
W | W
F 1 5 | W
W | F 6 7
W | F 6 7
W | W
W | T 7 9
W | W
W | W
