map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | W
S swordsman | T 9 5
T 7 7 | F 0 4
W | W
W | W
W | W
W | W
W | W
T 1 4 | W
W | W
T 0 2 | W
W | W
F 0 3 | T 6 9
W | F 1 1
W | S archer
W | W
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
F 9 2 | W
S archer | T 5 3
W | W
W | S swordsman
W | W
W | S swordsman
T 7 8 | T 9 0
W | F 0 9
T 6 3 | F 7 2
W | W
F 8 6 | F 8 0
S swordsman | F 1 9
W | W
W | T 2 8
T 8 0 | W
W | W
F 3 2 | W
S archer | W
W | W
W | W
W | F 5 6
W | W
S archer | T 4 9
W | W
W | W
W | T 7 8
W | F 0 8
W | S swordsman
S swordsman | W
S archer | F 6 2
W | W
W | S swordsman
W | W
W | F 6 1
W | F 3 3
W | T 8 8
W | W
S archer | F 4 0
T 1 5 | F 2 5
T 1 5 | S archer
W | F 3 0
W | S swordsman
S swordsman | W
S swordsman | T 4 4
S swordsman | W
W | W
W | W
F 5 1 | W
W | W
W | W
T 0 5 | S swordsman
S swordsman | W
S swordsman | F 3 7
W | S swordsman
S archer | W
W | S swordsman
F 6 0 | W
W | W
W | W
W | S swordsman
W | W
F 0 0 | T 1 7
W | W
S swordsman | F 0 8
T 5 9 | S archer
F 9 4 | F 0 8
W | T 3 3
F 3 2 | W
W | W
S swordsman | W
F 1 5 | W
W | W
W | T 5 6
W | W
S swordsman | T 9 5
W | W
S swordsman | T 9 3
W | F 0 5
W | W
W | W
T 1 9 | W
W | W
W | F 9 1
S archer | T 7 2
W | W
W | F 6 6
T 4 7 | F 4 7
F 9 5 | W
W | W
S archer | T 9 4
S swordsman | T 0 4
T 6 3 | W
S archer | W
W | W
W | W
F 4 2 | S archer
W | S swordsman
F 3 6 | W
T 0 3 | W
F 9 9 | T 8 3
W | W
W | W
W | T 7 5
T 6 9 | S archer
W | W
F 6 0 | S swordsman
W | W
W | F 9 9
W | W
S swordsman | W
T 2 6 | W
W | W
W | W
F 2 6 | T 7 4
F 0 1 | W
W | W
W | W
S swordsman | W
F 1 0 | W
F 8 9 | W
T 5 3 | W
T 9 6 | W
W | W
S swordsman | F 4 7
W | W
W | W
W | W
F 7 8 | W
F 4 8 | W
S archer | W
T 0 6 | F 7 9
W | W
W | F 1 0
T 4 0 | W
W | W
F 8 9 | W
W | W
F 8 2 | T 3 1
W | S swordsman
T 1 9 | T 2 4
W | W
W | F 4 5
S archer | W
