map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | S archer
F 5 3 | T 5 9
W | F 3 1
F 3 7 | W
W | W
W | W
T 0 4 | W
W | T 9 4
F 4 7 | W
W | S archer
T 0 3 | W
W | W
W | W
W | W
W | F 1 6
T 7 8 | T 3 4
W | W
T 9 8 | F 1 4
W | F 9 2
F 5 7 | W
T 9 6 | W
T 7 0 | W
W | W
W | T 6 4
T 1 6 | W
W | T 7 1
W | S swordsman
T 0 7 | W
W | W
T 2 8 | T 6 8
W | W
T 2 3 | S swordsman
W | S archer
S swordsman | S archer
W | W
T 2 9 | W
T 4 4 | W
W | S archer
W | W
W | W
F 3 2 | W
W | F 5 5
W | W
W | W
W | W
W | W
F 9 2 | T 1 8
S swordsman | W
W | W
W | W
W | W
T 5 1 | W
W | F 3 6
F 0 3 | S archer
W | W
S archer | S archer
W | W
W | T 9 7
F 1 0 | F 6 2
S swordsman | T 6 2
W | F 9 5
W | F 2 7
W | W
W | W
W | W
W | S archer
W | S swordsman
W | W
W | W
W | T 9 6
W | T 4 7
T 6 2 | F 8 0
W | W
S swordsman | T 8 6
T 7 5 | W
W | S swordsman
W | W
T 2 8 | S archer
S archer | W
W | F 4 3
W | W
T 6 1 | W
S archer | W
W | W
F 0 5 | W
W | F 4 5
W | S archer
W | W
T 9 3 | F 9 3
W | W
F 6 2 | W
W | W
S archer | T 5 0
W | T 5 9
W | W
W | S swordsman
F 6 3 | W
F 2 9 | W
F 7 4 | W
W | W
W | W
W | W
W | W
S swordsman | T 7 8
S swordsman | W
W | W
W | W
T 7 9 | W
S swordsman | F 7 0
F 7 7 | W
S swordsman | W
S swordsman | F 8 0
T 7 8 | F 3 6
W | W
W | S swordsman
W | T 3 6
W | W
W | S swordsman
W | W
W | W
W | F 0 5
T 3 2 | W
W | W
W | W
W | W
W | W
W | T 6 1
W | W
W | W
S archer | W
W | W
S archer | W
W | W
W | W
W | W
T 8 1 | F 5 7
W | W
W | W
W | W
W | W
S archer | F 8 4
W | W
T 0 3 | W
W | S swordsman
F 7 5 | F 2 4
W | S archer
S archer | W
T 2 0 | W
S swordsman | W
W | W
W | S archer
W | W
W | W
F 7 3 | F 9 5
W | S archer
W | S swordsman
W | W
W | W
W | W
T 7 2 | S swordsman
T 2 2 | W
W | S archer
W | T 9 6
W | W
W | W
T 0 3 | S archer
W | W
T 8 7 | T 8 7
W | W
W | F 1 1
W | W
W | S swordsman
S swordsman | F 1 3
W | W
S archer | W
T 9 0 | W
F 3 3 | S swordsman
W | T 2 2
W | W
W | S archer
W | T 0 0
W | W
T 4 8 | T 2 5
T 6 0 | W
W | W
F 7 2 | W
W | W
S swordsman | T 0 0
W | T 9 9
W | W
S swordsman | F 4 6
S archer | W
W | W
W | W
W | T 2 6
W | W
W | S archer
S swordsman | W
F 7 0 | W
S swordsman | S archer
W | W
T 9 7 | W
F 7 1 | S archer
F 7 9 | W
W | W
F 0 5 | F 0 4
S swordsman | W
T 4 5 | W
W | F 6 4
W | W
F 9 4 | S swordsman
F 9 6 | S swordsman
W | W
W | W
T 7 8 | W
T 7 2 | W
W | W
W | T 7 5
W | W
W | W
W | S archer
W | W
W | W
T 9 2 | W
W | W
F 9 7 | W
F 6 6 | W
W | T 2 1
W | F 3 1
W | W
W | T 8 6
F 7 8 | W
F 9 4 | W
T 4 6 | W
F 7 8 | W
F 6 2 | W
