map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
F 2 9 | S swordsman
W | W
T 7 2 | F 0 4
W | F 6 3
T 4 2 | T 4 1
W | W
T 6 5 | W
W | W
W | W
F 0 9 | T 3 8
W | W
S swordsman | W
S swordsman | W
W | W
F 1 3 | F 2 1
W | T 6 6
T 2 9 | W
S swordsman | W
F 3 3 | W
W | W
F 2 2 | W
W | W
S archer | T 3 1
F 8 3 | W
W | W
S archer | W
S swordsman | W
T 8 4 | W
W | W
F 7 2 | W
F 7 6 | W
W | W
W | F 1 2
W | T 2 2
S archer | F 3 0
W | W
W | F 4 4
W | W
W | W
W | S swordsman
W | T 4 8
W | T 5 0
S archer | W
W | W
W | F 1 2
W | S swordsman
W | S swordsman
T 2 2 | W
S swordsman | W
T 6 9 | F 6 4
W | W
T 2 9 | W
W | W
W | T 4 1
S archer | T 6 3
W | W
W | W
F 9 5 | W
W | F 0 7
S archer | S archer
W | W
W | W
W | W
S archer | F 9 4
W | W
W | S archer
F 9 7 | S archer
W | W
W | W
W | F 0 3
W | S swordsman
W | T 8 0
S archer | W
W | S swordsman
W | W
W | W
S archer | T 1 4
F 2 7 | T 6 1
S swordsman | S swordsman
W | W
W | T 8 7
S archer | W
W | W
F 4 8 | S swordsman
W | W
W | F 2 3
W | F 2 7
W | W
S swordsman | W
W | W
F 9 5 | W
W | T 6 9
W | W
W | F 8 9
