map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
F 7 9 | W
W | W
F 6 9 | W
T 4 7 | W
W | S archer
W | W
W | W
W | W
W | W
F 1 6 | W
W | T 1 4
W | W
W | S archer
T 8 6 | W
W | W
W | W
W | W
W | W
F 4 5 | F 8 8
S swordsman | S swordsman
T 4 5 | W
F 9 4 | W
W | W
W | W
S archer | S archer
W | T 5 2
W | W
W | S swordsman
T 8 1 | W
W | W
W | W
W | W
W | W
S swordsman | T 3 1
W | T 8 6
T 9 9 | W
W | W
F 1 9 | S archer
F 1 3 | W
W | S swordsman
S swordsman | F 3 7
W | W
W | W
W | W
S archer | W
W | W
W | T 7 0
F 0 8 | W
W | W
W | W
W | S swordsman
F 1 6 | S swordsman
W | S swordsman
S swordsman | S archer
W | W
T 9 5 | W
F 3 5 | W
T 3 0 | S archer
W | W
W | T 6 5
W | W
S swordsman | W
S swordsman | S swordsman
W | W
W | W
T 1 4 | W
S archer | W
F 6 3 | W
W | W
W | T 7 4
W | W
S archer | W
W | W
T 4 4 | F 7 0
W | F 4 3
W | W
W | W
W | W
T 1 0 | W
W | F 5 9
T 8 2 | T 4 2
T 0 4 | S archer
W | F 0 4
F 6 9 | W
F 0 1 | W
W | S archer
T 8 5 | F 6 8
W | W
W | F 4 6
F 2 9 | W
F 0 8 | W
W | W
W | W
S archer | F 4 2
W | F 8 0
W | F 6 8
T 4 4 | W
W | T 2 2
T 5 9 | W
W | W
W | F 3 7
W | W
F 0 2 | W
W | S archer
W | F 0 9
S swordsman | W
W | W
W | W
W | T 7 9
W | S swordsman
W | W
W | F 1 5
W | T 6 8
W | F 2 2
W | W
W | T 4 2
W | W
W | W
S archer | W
W | F 1 8
W | W
T 9 4 | F 3 1
W | W
W | W
W | W
W | W
S swordsman | W
F 8 9 | F 4 1
S swordsman | W
W | W
T 5 1 | F 1 2
W | W
W | W
W | W
F 5 7 | W
W | T 6 0
F 4 3 | W
W | W
W | W
W | W
W | S archer
W | S archer
W | W
W | W
W | W
W | F 6 4
T 6 5 | F 8 0
S swordsman | W
T 9 6 | W
W | W
W | W
W | W
S archer | F 2 7
W | W
W | W
S swordsman | W
S swordsman | W
T 0 8 | W
S archer | T 9 2
W | S archer
W | W
F 1 9 | W
W | S swordsman
W | W
F 2 2 | W
W | W
S archer | W
T 6 1 | W
F 3 6 | S archer
S archer | W
T 8 8 | W
W | W
W | W
W | S swordsman
F 8 4 | T 7 9
F 1 7 | F 2 6
F 8 1 | W
S swordsman | W
F 6 2 | F 3 1
W | T 8 7
W | W
W | F 5 5
W | F 0 3
F 0 0 | F 2 2
W | W
W | S archer
W | F 0 6
T 8 0 | F 4 8
W | W
T 3 5 | W
W | W
W | W
W | T 1 5
W | W
S swordsman | W
W | W
T 7 2 | T 9 2
T 7 3 | W
W | W
W | F 9 6
T 2 4 | W
W | S archer
