map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | T 1 5
W | F 5 9
F 3 3 | W
S archer | W
S swordsman | W
S archer | W
W | W
W | W
W | W
W | F 9 3
W | W
W | T 1 3
W | F 8 6
W | W
W | T 0 0
W | W
T 1 6 | F 2 3
W | S swordsman
T 9 7 | W
W | W
W | W
F 7 5 | W
W | W
S swordsman | S archer
F 3 9 | F 8 0
W | W
T 5 2 | W
S swordsman | W
W | S archer
S swordsman | W
W | W
S archer | W
S archer | W
F 2 8 | T 2 1
F 6 5 | W
W | S archer
W | W
W | F 4 9
S swordsman | T 9 1
W | W
T 3 9 | S archer
W | W
T 9 5 | W
W | W
W | S archer
W | W
F 8 3 | F 2 7
T 3 9 | T 6 9
F 2 9 | W
W | W
S swordsman | W
W | W
T 8 3 | W
F 7 6 | F 3 5
F 6 4 | W
W | W
W | W
T 9 7 | S archer
W | W
W | W
F 7 4 | W
S swordsman | W
F 7 2 | W
W | W
