map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
S archer | W
W | W
W | W
W | W
W | W
S archer | W
W | W
T 7 2 | W
F 9 1 | W
W | W
F 9 5 | S swordsman
W | W
W | W
W | W
T 2 0 | W
W | W
S archer | W
W | S archer
S archer | W
S archer | S swordsman
W | S archer
W | W
F 7 7 | W
S swordsman | S swordsman
W | S archer
S archer | S swordsman
W | T 3 1
S archer | W
W | W
F 7 9 | W
W | F 0 9
W | W
S swordsman | W
W | W
S swordsman | W
S archer | W
W | W
W | S archer
S swordsman | W
W | W
W | W
W | T 3 6
F 9 5 | W
W | W
T 6 5 | S swordsman
W | T 6 3
W | F 5 6
W | W
W | W
S archer | T 0 1
W | F 9 9
W | W
W | T 8 1
W | W
W | W
W | W
W | W
S archer | W
T 4 4 | W
S swordsman | W
W | W
W | W
W | S swordsman
T 9 2 | S archer
F 7 5 | W
F 2 1 | W
S archer | W
W | W
W | W
W | W
F 2 3 | W
W | W
W | W
S archer | W
W | W
W | T 5 7
W | W
W | W
W | W
W | F 7 6
T 9 6 | F 7 7
W | W
T 4 3 | W
W | W
W | W
W | T 5 4
F 6 5 | S archer
T 8 4 | W
S swordsman | W
W | S archer
W | W
T 3 7 | T 2 3
T 3 1 | S archer
T 1 2 | W
W | S swordsman
W | F 7 5
W | W
W | T 5 4
W | W
W | W
W | S archer
W | F 0 8
W | F 0 6
W | F 8 5
T 2 7 | F 5 7
W | W
T 8 7 | T 2 8
W | W
S swordsman | W
S archer | W
W | F 0 1
W | S archer
W | W
S swordsman | F 4 0
F 5 0 | S archer
S swordsman | T 8 2
T 1 6 | W
W | S archer
F 2 9 | T 5 6
W | W
F 2 6 | W
W | W
W | W
W | W
W | W
T 0 5 | F 4 6
W | W
W | W
F 6 7 | W
W | W
W | T 1 8
W | T 0 9
F 5 8 | S swordsman
W | T 8 5
W | W
F 1 0 | W
W | W
W | W
W | S archer
W | W
S archer | T 4 7
T 7 1 | W
S swordsman | W
W | F 5 8
W | W
W | T 7 7
W | W
W | S swordsman
W | S swordsman
W | T 4 0
W | T 8 2
F 5 5 | W
F 4 3 | W
W | T 6 1
W | T 6 7
W | F 6 7
W | T 6 9
T 9 3 | T 2 8
W | S swordsman
W | F 0 5
W | W
F 0 3 | W
W | T 5 2
W | W
W | W
S archer | T 0 3
T 7 9 | F 9 1
T 7 8 | W
W | W
F 9 9 | W
W | W
W | T 4 7
T 6 7 | F 5 0
W | W
W | W
W | W
S swordsman | W
F 0 5 | W
S archer | F 7 4
W | T 1 6
W | W
S archer | W
S swordsman | S archer
T 2 3 | W
W | T 1 1
W | W
F 1 8 | W
W | F 5 0
T 7 9 | S archer
F 8 5 | W
W | W
S swordsman | W
S swordsman | W
S swordsman | W
T 8 5 | W
W | W
T 1 1 | W
W | W
W | W
W | S swordsman
W | S swordsman
W | W
F 9 9 | W
W | W
W | F 0 8
W | W
W | W
F 0 0 | W
S archer | W
W | W
W | W
F 4 3 | F 1 7
W | W
S swordsman | F 9 4
W | S swordsman
W | S swordsman
W | W
W | W
F 2 2 | S archer
W | S archer
S archer | W
W | F 6 2
T 8 4 | T 3 0
W | W
W | T 6 6
W | S archer
W | W
W | W
W | W
T 2 0 | W
W | W
W | W
T 0 5 | W
T 3 0 | W
F 1 8 | S archer
T 2 5 | W
W | W
S archer | W
W | W
W | W
W | F 2 1
W | W
W | F 2 8
W | W
F 3 3 | S swordsman
W | W
F 3 0 | F 5 6
S archer | F 0 7
S swordsman | W
T 0 6 | S swordsman
W | W
W | W
F 1 2 | W
F 3 8 | W
W | W
S archer | T 1 1
W | W
W | F 1 9
S swordsman | F 4 2
W | W
W | W
S swordsman | W
W | W
W | T 5 7
W | T 8 9
W | W
W | W
W | W
W | F 5 3
W | F 6 6
W | W
W | T 8 3
W | W
W | W
T 9 0 | W
F 1 8 | W
W | W
S swordsman | W
F 8 3 | W
S archer | W
W | W
W | W
W | W
W | W
F 2 9 | W
W | W
W | S swordsman
W | W
F 1 5 | W
W | T 8 0
W | W
W | S swordsman
W | T 6 2
W | T 5 2
S swordsman | W
T 8 8 | F 3 1
W | W
F 0 7 | S swordsman
T 6 7 | S swordsman
T 2 2 | S archer
S swordsman | T 0 5
W | W
W | W
W | W
S archer | W
W | W
S swordsman | W
W | W
S swordsman | W
W | F 1 2
T 1 2 | T 2 1
W | F 5 2
W | W
W | W
S archer | W
T 8 4 | W
W | T 1 4
W | W
W | T 1 0
W | W
W | F 5 9
S archer | W
W | W
T 4 4 | W
T 8 0 | W
T 8 5 | S archer
F 8 7 | T 8 7
W | W
T 4 7 | T 8 8
S archer | W
W | W
W | W
T 2 3 | F 3 8
W | W
T 4 7 | T 0 0
W | W
W | W
W | W
W | W
W | W
W | W
W | W
T 3 1 | S swordsman
F 3 7 | W
W | W
F 6 4 | W
T 6 9 | W
W | W
