map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
S archer | W
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | F 4 1
T 2 2 | W
S archer | S swordsman
W | W
S swordsman | F 0 1
F 0 5 | S swordsman
W | S archer
W | W
W | T 4 9
W | W
W | F 7 7
W | S archer
W | W
W | W
T 5 8 | W
W | T 8 3
F 4 4 | W
T 2 6 | W
W | W
W | F 3 1
W | W
W | F 6 0
T 3 7 | W
T 4 8 | F 0 2
W | T 5 6
W | T 7 4
W | W
F 6 8 | W
W | T 9 5
S swordsman | T 5 0
W | W
W | W
F 3 4 | W
W | F 5 9
W | W
S archer | S swordsman
W | W
S archer | F 4 0
W | S archer
W | S archer
W | W
W | W
W | W
W | W
S swordsman | W
T 9 0 | F 6 1
S archer | F 3 3
T 3 6 | W
W | F 8 8
S archer | W
W | W
S archer | W
W | W
T 5 9 | W
W | S swordsman
S archer | W
W | W
S swordsman | W
W | W
F 7 3 | W
W | W
S archer | S archer
W | F 7 7
F 1 2 | W
W | W
W | W
W | W
W | W
T 1 8 | W
W | W
W | F 9 0
T 2 8 | W
W | W
W | W
S archer | W
S archer | S swordsman
W | F 9 0
W | W
T 3 4 | W
W | W
W | W
W | W
W | W
W | F 8 4
F 2 6 | W
W | W
W | W
S archer | W
S archer | T 5 1
W | S archer
W | W
W | S swordsman
W | W
W | W
S swordsman | F 7 7
W | W
W | W
W | T 7 7
F 8 7 | W
T 7 4 | W
W | T 2 2
T 9 1 | W
T 1 6 | T 4 5
W | T 9 1
W | W
W | W
F 2 9 | F 1 0
W | S swordsman
T 6 6 | W
S archer | W
W | W
W | W
S archer | T 1 8
W | T 7 5
W | S archer
W | F 6 2
W | W
W | W
W | W
W | S archer
W | F 0 0
T 2 2 | W
W | S swordsman
W | T 9 0
W | W
W | W
W | W
W | W
W | S swordsman
S archer | S archer
S swordsman | S swordsman
F 6 7 | W
T 6 1 | W
W | T 1 6
W | F 7 4
