map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
T 3 3 | W
F 7 0 | W
S swordsman | W
W | W
T 1 4 | W
W | T 3 3
W | W
S swordsman | W
W | W
F 0 2 | W
S archer | F 5 6
F 5 1 | S archer
F 8 1 | T 5 4
W | W
W | W
W | S swordsman
S archer | S swordsman
W | F 7 0
W | T 6 2
W | W
W | W
W | W
W | T 3 5
W | W
W | W
W | S archer
W | S archer
W | W
W | W
W | W
S swordsman | F 0 2
S archer | W
F 6 3 | W
S archer | T 2 7
W | W
W | W
F 1 3 | W
W | W
F 8 4 | W
W | W
W | W
S swordsman | W
T 5 8 | W
T 8 1 | W
W | T 2 0
W | T 0 4
W | W
F 0 0 | S archer
S archer | F 4 4
S archer | W
W | S swordsman
W | T 0 7
T 2 2 | W
W | F 4 6
W | W
S archer | W
S swordsman | W
T 0 0 | W
W | W
S archer | W
W | W
T 5 7 | W
W | F 8 3
W | W
W | W
W | W
W | S archer
W | W
T 9 7 | W
T 3 6 | W
W | W
W | W
W | T 8 1
W | W
T 5 9 | W
T 2 0 | W
F 5 4 | W
