map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
T 5 2 | W
W | W
W | W
W | T 1 4
F 0 2 | T 3 6
F 7 6 | W
T 8 3 | W
W | W
F 0 6 | F 7 7
F 4 4 | W
W | S swordsman
F 2 1 | F 9 3
T 5 9 | W
F 6 2 | W
S archer | T 1 8
S archer | W
W | W
F 8 4 | T 4 0
T 0 2 | S archer
T 7 7 | W
F 5 9 | T 0 3
F 1 0 | W
S swordsman | T 7 9
W | W
W | F 2 0
W | F 9 0
W | W
W | T 0 0
W | S swordsman
S swordsman | W
T 2 4 | W
W | W
T 3 1 | F 3 4
W | W
W | F 2 2
W | W
S swordsman | S swordsman
S swordsman | F 9 6
W | W
S archer | T 8 4
S archer | T 8 9
W | W
W | T 3 1
W | W
W | W
S archer | S swordsman
S swordsman | T 2 4
W | W
W | F 8 1
W | S archer
W | W
F 9 2 | W
W | W
S swordsman | W
W | W
W | W
W | S swordsman
W | T 4 2
W | W
W | W
F 3 2 | W
W | W
S archer | W
W | W
S archer | W
W | W
S archer | W
S archer | W
W | W
T 3 5 | S archer
W | S archer
W | S swordsman
W | W
S swordsman | F 3 8
S swordsman | W
W | W
W | F 3 8
W | W
W | W
F 0 4 | W
W | W
W | F 7 1
W | W
W | W
W | W
W | W
W | W
W | W
S archer | W
W | W
W | W
F 9 2 | T 3 1
S archer | W
W | T 7 7
W | W
F 8 8 | F 5 5
W | W
W | S archer
W | T 1 1
W | W
