map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | W
W | W
F 1 2 | W
W | F 8 9
W | W
W | F 6 5
W | W
W | W
S swordsman | F 8 5
W | W
W | S swordsman
W | F 3 2
W | W
W | W
W | W
W | T 0 0
W | T 8 7
W | W
T 1 5 | W
W | S swordsman
S swordsman | W
W | W
W | W
W | W
S archer | F 5 9
W | S archer
W | W
W | T 5 0
S swordsman | S swordsman
W | F 8 8
F 3 3 | T 5 4
W | W
W | W
W | W
F 9 8 | F 8 9
W | W
W | T 4 3
W | T 7 4
W | W
W | S swordsman
S archer | W
S swordsman | W
F 8 9 | F 0 0
W | W
W | F 1 2
S swordsman | W
W | T 6 7
T 5 1 | F 1 1
W | F 8 4
S swordsman | W
W | F 7 9
S archer | S archer
W | W
W | W
W | W
S swordsman | W
W | T 5 2
W | W
S archer | S archer
T 7 4 | W
W | W
W | W
W | W
W | S archer
W | W
W | W
W | W
F 7 1 | S archer
W | S archer
S archer | W
W | W
W | W
T 0 1 | W
W | W
W | T 0 7
W | W
S archer | W
F 0 0 | W
T 7 1 | F 8 7
W | S swordsman
F 8 5 | F 6 2
W | W
S swordsman | S swordsman
W | T 8 4
W | T 6 9
W | W
W | W
T 0 0 | F 4 1
F 3 6 | S swordsman
W | T 2 7
T 3 0 | W
F 7 3 | W
W | W
W | S swordsman
W | W
W | W
W | S swordsman
F 1 4 | T 7 6
T 1 4 | W
W | T 1 4
W | W
W | W
W | W
W | F 6 4
W | W
W | S swordsman
W | W
W | W
W | W
W | W
W | W
W | W
T 1 7 | W
W | W
W | W
S swordsman | T 7 6
S archer | W
T 8 9 | W
W | W
F 9 2 | W
W | W
W | W
T 3 3 | W
W | W
W | S archer
W | S swordsman
S archer | T 8 3
T 7 2 | F 8 5
W | W
W | T 5 7
F 4 7 | W
W | F 7 8
S swordsman | W
T 1 6 | W
W | W
W | W
T 9 8 | T 7 5
W | T 0 7
W | F 9 4
S archer | S swordsman
W | W
W | S archer
T 1 8 | W
W | W
W | W
W | F 6 8
W | F 2 6
W | S swordsman
W | S swordsman
W | T 5 1
S swordsman | F 2 9
F 3 7 | W
W | W
W | W
W | T 2 6
T 0 5 | W
W | W
W | W
W | S swordsman
F 3 3 | W
F 2 5 | W
W | S archer
W | W
W | S archer
W | W
F 6 9 | W
W | W
W | W
W | S swordsman
W | W
W | F 9 6
W | W
W | W
W | W
W | W
S archer | W
W | T 8 7
S swordsman | W
S archer | W
W | W
W | S swordsman
T 6 2 | W
W | S archer
W | F 8 6
W | W
W | W
T 0 9 | W
F 3 6 | F 1 1
S archer | W
S swordsman | W
T 0 2 | W
F 1 3 | W
T 3 5 | W
W | W
W | W
T 2 2 | W
T 3 3 | W
W | W
T 0 3 | T 9 6
W | W
S archer | F 8 6
W | S archer
S swordsman | W
W | W
W | T 5 3
W | W
W | W
W | W
W | W
T 5 8 | W
W | S archer
W | T 1 4
W | W
F 1 6 | F 7 7
W | W
T 3 2 | W
W | T 8 1
W | W
W | W
W | W
F 5 5 | W
S swordsman | W
T 7 0 | W
W | W
T 8 0 | W
W | S archer
W | F 7 0
W | F 5 7
W | W
W | T 9 5
W | T 2 5
W | T 3 2
W | W
S swordsman | W
F 0 3 | S archer
W | S swordsman
S swordsman | W
W | S swordsman
W | W
W | S archer
W | W
T 6 2 | W
F 5 0 | T 8 7
S swordsman | S swordsman
W | W
W | S archer
T 4 1 | W
W | W
F 2 2 | W
W | T 7 0
S archer | F 5 1
W | W
F 1 8 | W
S swordsman | T 0 7
T 2 6 | T 9 8
T 8 0 | W
W | W
W | W
W | F 5 6
W | W
W | W
T 1 3 | S archer
W | S swordsman
W | W
W | W
W | S archer
W | F 3 6
W | S swordsman
S swordsman | W
W | W
W | T 7 3
W | W
T 3 4 | W
W | S archer
S swordsman | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | W
W | W
W | S swordsman
T 1 6 | W
F 7 6 | W
W | W
W | F 4 8
S archer | S archer
W | W
S swordsman | T 5 0
W | S swordsman
W | F 9 7
W | F 5 4
W | S archer
F 2 8 | F 6 9
S archer | W
W | W
W | S swordsman
W | W
F 7 1 | W
T 8 1 | S swordsman
T 8 7 | W
W | S swordsman
S archer | T 9 4
T 0 3 | W
W | W
W | W
