map:duuuza.json
player1:bot.py
player2:bot_python2.py
S archer | W
S swordsman | T 0 2
W | W
W | W
W | T 7 5
S archer | S archer
W | T 6 9
W | W
T 2 8 | W
W | F 4 2
W | W
W | W
W | W
W | W
T 1 7 | W
W | W
W | T 5 0
W | T 5 9
W | W
W | T 2 5
T 0 9 | W
W | W
T 3 8 | W
S swordsman | W
W | T 5 7
W | F 9 9
F 8 4 | W
W | S archer
W | S archer
S swordsman | S swordsman
S swordsman | T 1 5
W | W
W | F 2 0
W | T 9 4
W | T 6 8
W | F 8 5
T 3 2 | W
W | W
W | W
W | F 2 9
W | W
W | T 4 9
T 7 5 | F 9 4
F 1 5 | W
W | F 2 5
W | T 3 0
W | W
W | W
W | W
W | S archer
F 6 5 | W
W | W
W | W
W | W
W | W
W | W
W | W
S archer | W
T 0 4 | W
W | W
W | W
W | S archer
W | W
W | S swordsman
T 4 4 | S archer
W | W
S archer | T 4 3
W | W
T 6 1 | W
W | T 8 3
W | W
W | W
W | W
T 4 9 | W
W | W
W | W
W | W
W | S archer
W | W
W | W
W | W
W | F 2 0
W | W
F 9 1 | W
S archer | F 2 2
W | F 2 7
S archer | W
W | W
F 7 4 | S archer
F 2 7 | W
W | W
T 7 3 | T 7 6
F 7 2 | S swordsman
W | W
F 5 2 | W
W | W
W | W
W | W
W | W
W | W
W | T 8 0
W | F 8 2
W | W
W | W
W | S swordsman
W | W
W | W
W | T 0 5
W | W
S swordsman | W
