map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | S swordsman
W | W
W | T 1 0
W | W
W | F 7 0
W | F 8 2
W | S archer
W | S swordsman
T 2 4 | S swordsman
W | F 0 1
W | W
W | W
W | T 6 9
W | W
T 7 6 | W
W | W
W | T 9 5
S swordsman | W
W | W
W | W
W | W
W | W
F 0 9 | W
T 4 8 | F 4 6
W | W
W | W
T 4 1 | W
T 5 9 | W
S archer | W
F 7 1 | W
S archer | T 4 0
T 7 6 | F 4 8
T 1 2 | S swordsman
T 6 9 | W
W | S swordsman
F 8 4 | F 3 6
S archer | W
W | W
W | W
T 2 0 | W
W | W
W | W
F 6 4 | W
F 7 3 | W
W | W
F 0 2 | W
S archer | S archer
T 7 3 | F 8 5
F 7 7 | W
W | W
T 5 1 | S archer
W | W
