map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
T 0 3 | S archer
T 1 8 | W
T 2 8 | W
W | W
W | T 2 8
W | W
T 0 2 | W
T 8 9 | F 6 9
W | W
T 5 9 | W
S swordsman | W
W | T 6 5
W | W
W | S swordsman
W | W
F 4 8 | W
W | W
F 5 9 | S swordsman
T 3 4 | S archer
W | F 2 2
W | W
F 3 9 | W
W | F 6 1
S swordsman | S archer
T 1 2 | W
W | W
W | W
W | W
W | F 3 4
F 8 5 | S archer
T 1 1 | W
W | W
T 5 8 | W
W | W
F 5 1 | W
S swordsman | W
F 8 7 | S archer
T 2 8 | W
W | W
W | W
W | F 8 9
W | W
W | F 3 0
F 4 1 | W
W | W
W | W
F 4 9 | W
T 0 2 | W
W | W
F 7 9 | T 2 7
W | W
W | T 8 8
F 9 9 | W
W | W
W | W
W | W
T 6 0 | W
S archer | W
W | W
W | W
W | W
W | W
T 9 9 | W
W | W
W | W
W | W
T 7 2 | S archer
