map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | W
W | W
W | W
W | F 5 9
F 6 4 | W
W | W
T 6 4 | T 6 4
W | W
W | W
W | W
S archer | T 6 2
W | W
W | T 2 8
W | F 0 2
W | W
W | T 8 5
W | W
W | F 7 2
T 6 7 | W
W | F 1 1
T 2 2 | W
T 5 2 | W
W | W
W | S archer
W | W
W | F 8 6
W | F 5 3
T 2 3 | F 7 2
T 4 9 | W
W | T 8 8
W | F 5 3
T 8 0 | W
W | W
W | W
W | W
W | T 1 4
W | S archer
W | T 5 5
W | W
T 3 3 | W
S swordsman | T 0 1
W | S archer
W | W
W | W
F 5 9 | T 1 8
W | W
W | S swordsman
F 5 0 | W
W | W
W | W
W | F 3 0
W | W
W | F 8 3
W | T 2 7
W | T 3 1
F 2 3 | T 9 6
W | F 9 5
W | W
F 9 9 | S swordsman
W | S swordsman
F 9 7 | W
F 8 2 | S archer
W | W
W | T 0 0
T 3 4 | W
W | F 9 9
S archer | W
F 3 5 | W
W | W
S archer | F 1 9
W | F 6 8
W | W
W | T 8 5
W | T 1 1
T 6 3 | W
W | W
W | T 0 2
S swordsman | W
T 8 4 | T 2 6
T 8 2 | F 8 9
W | T 6 2
W | W
W | S swordsman
W | W
W | W
W | W
F 7 9 | F 6 1
W | W
T 2 3 | W
W | F 4 4
F 8 6 | W
T 7 4 | W
F 3 9 | W
S archer | W
T 0 6 | W
W | T 9 8
W | W
T 2 0 | W
W | W
W | W
W | T 0 7
W | W
W | W
W | W
