map:duuuza.json
player1:bot.py
player2:bot_python2.py
S swordsman | W
W | W
W | W
F 2 8 | W
W | W
W | W
W | W
W | T 3 9
F 9 4 | W
W | F 7 5
W | W
W | S swordsman
F 8 5 | T 3 1
F 7 9 | W
T 8 9 | W
W | W
T 8 4 | W
W | T 6 7
W | W
W | W
W | W
W | W
S swordsman | W
F 0 3 | S archer
W | W
S swordsman | W
W | W
W | W
W | W
W | S swordsman
W | W
W | T 3 6
S archer | T 8 2
W | S swordsman
F 9 8 | S archer
S swordsman | W
W | W
W | W
W | T 5 2
W | W
W | W
W | W
W | W
S swordsman | S archer
W | W
W | F 8 5
W | F 6 7
W | S archer
W | W
W | S swordsman
T 1 9 | W
W | T 6 0
S archer | W
W | W
F 3 4 | W
W | F 7 6
S swordsman | T 8 1
T 4 0 | W
T 1 7 | S swordsman
F 0 4 | W
T 8 6 | F 0 4
W | W
T 4 3 | W
W | T 4 5
W | W
W | W
W | W
W | W
W | W
T 7 8 | W
W | W
W | W
W | T 2 7
W | F 6 3
W | S swordsman
W | W
W | W
W | F 9 2
W | W
W | W
W | W
T 3 1 | F 8 0
T 3 6 | F 6 4
W | W
W | W
W | W
W | W
W | T 7 5
W | F 2 5
S archer | S swordsman
W | T 3 4
W | W
W | S archer
W | W
W | W
W | W
W | W
T 3 2 | F 4 1
W | W
F 4 3 | F 2 9
W | F 3 1
