map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
T 5 3 | S swordsman
W | S archer
W | T 9 3
F 2 6 | S swordsman
F 1 4 | W
W | W
W | W
S swordsman | T 9 7
S swordsman | T 2 1
W | W
W | W
W | W
W | W
W | S swordsman
W | W
W | F 1 8
T 4 5 | W
W | T 4 3
S swordsman | W
S archer | W
W | W
W | F 6 6
W | F 9 6
S swordsman | F 2 8
W | W
W | S swordsman
W | W
W | W
W | S archer
W | T 4 5
W | W
T 3 7 | W
F 2 6 | W
W | T 5 9
W | W
W | T 5 7
W | W
W | F 4 4
W | T 0 4
W | W
S swordsman | S archer
W | T 0 2
W | W
W | W
W | T 3 8
W | T 8 5
W | F 4 7
W | W
W | W
W | T 8 8
W | F 3 4
W | W
W | F 0 9
T 7 7 | W
W | F 9 7
W | W
W | T 2 5
W | W
T 9 1 | W
F 4 7 | W
T 0 7 | W
W | W
W | W
W | S archer
T 5 0 | W
W | W
W | T 3 2
F 5 5 | W
