map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
F 5 7 | S archer
T 3 3 | W
S swordsman | W
T 6 2 | W
T 6 9 | W
W | F 3 2
W | W
W | W
W | W
W | T 2 8
F 8 0 | F 4 8
S swordsman | F 9 0
W | W
W | W
W | W
W | W
T 3 5 | W
T 5 2 | W
S swordsman | W
F 4 6 | W
W | W
W | W
W | W
W | W
T 8 0 | W
T 8 9 | W
T 0 8 | W
T 7 6 | W
W | T 7 4
W | W
W | W
S swordsman | T 9 6
W | W
W | W
W | W
W | W
T 4 3 | F 0 0
W | W
W | W
W | F 5 0
W | W
W | W
T 8 0 | T 6 3
W | F 6 4
W | S archer
F 9 1 | W
W | W
W | S swordsman
F 2 2 | W
W | W
W | W
W | W
T 9 0 | W
W | S swordsman
W | W
T 1 9 | W
W | S swordsman
W | W
S archer | W
S archer | W
F 8 8 | T 9 3
T 9 3 | F 6 4
W | W
T 7 9 | W
W | F 0 7
W | W
F 6 5 | T 2 9
T 4 9 | W
F 7 5 | W
W | W
W | W
W | S swordsman
