map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S archer
W | W
W | F 6 6
S swordsman | F 8 7
F 4 5 | W
W | T 8 1
S archer | W
W | W
W | T 1 6
W | F 7 7
W | W
W | W
F 3 2 | W
F 2 0 | W
F 3 5 | T 6 6
W | W
W | W
W | F 6 9
W | W
F 4 8 | F 0 5
W | W
F 8 9 | W
W | W
W | T 1 1
W | F 3 1
F 2 9 | W
W | F 1 0
T 5 5 | S swordsman
W | F 6 0
S swordsman | W
S swordsman | W
W | F 4 5
W | F 4 7
W | W
F 6 6 | W
W | W
F 8 1 | W
S swordsman | T 8 2
T 2 2 | F 6 5
S archer | W
S swordsman | W
W | W
W | W
S archer | W
W | W
W | W
S swordsman | W
F 2 2 | W
W | W
W | W
W | W
