map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | S swordsman
W | T 2 8
T 2 2 | W
W | W
S archer | F 8 8
W | T 9 6
S archer | T 6 2
W | S archer
S swordsman | W
W | W
W | W
W | F 7 5
W | S swordsman
S swordsman | W
T 7 0 | T 1 3
S archer | S archer
S archer | S swordsman
W | W
W | W
S swordsman | W
S swordsman | W
F 1 6 | W
W | S archer
T 9 4 | W
W | W
F 9 1 | F 5 7
S swordsman | F 2 4
S swordsman | S swordsman
S archer | T 8 5
T 0 1 | S archer
W | T 2 1
W | T 4 5
W | T 5 0
F 3 2 | S swordsman
W | F 1 0
W | W
W | W
W | F 9 8
F 7 9 | W
T 1 2 | W
W | W
W | F 7 5
W | W
W | W
W | W
W | S swordsman
W | W
W | F 5 5
S swordsman | W
S swordsman | S archer
W | W
W | F 3 4
W | F 3 9
F 9 0 | W
W | W
W | W
W | W
W | W
W | W
W | W
S archer | T 3 0
T 4 0 | W
W | T 2 2
T 9 7 | S swordsman
F 8 3 | F 7 7
F 7 8 | W
W | W
S swordsman | W
W | W
T 2 6 | W
W | F 0 9
W | W
S archer | S archer
F 0 3 | W
W | W
W | T 5 4
F 4 9 | W
W | W
F 2 6 | F 1 3
S swordsman | F 5 4
W | W
W | W
F 3 9 | W
F 6 8 | W
S swordsman | W
T 0 3 | W
S swordsman | T 5 2
W | W
T 7 2 | S archer
W | W
W | W
W | W
W | W
W | W
F 7 0 | W
W | F 7 3
W | W
W | S archer
W | W
W | W
F 8 8 | W
W | W
T 8 9 | F 4 4
W | T 7 1
W | T 0 3
F 1 5 | F 1 5
W | W
