map:duuuza.json
player1:bot.py
player2:bot_python2.py
W | W
W | S archer
W | W
S swordsman | T 5 9
W | W
F 2 0 | T 7 5
W | W
W | W
W | W
W | F 4 1
S archer | W
T 3 6 | F 5 3
W | F 1 2
T 9 6 | W
S swordsman | S archer
F 3 5 | W
W | S swordsman
T 8 2 | W
S swordsman | W
W | W
T 1 1 | W
W | S archer
W | W
W | F 2 4
W | W
S swordsman | W
W | T 9 6
W | T 5 6
W | W
W | T 6 8
W | F 9 3
W | F 0 5
W | W
S archer | S swordsman
S swordsman | W
F 4 3 | S archer
F 8 9 | T 4 5
W | W
T 0 9 | F 6 5
W | F 3 5
T 5 4 | F 0 8
F 7 4 | W
T 0 6 | F 1 3
W | W
T 5 7 | W
W | W
W | W
W | W
W | S swordsman
T 8 9 | T 1 1
T 9 7 | S archer
T 4 0 | W
S archer | W
W | F 9 2
F 0 1 | W
W | T 7 4
W | W
W | W
F 6 0 | F 0 2
S swordsman | W
T 1 4 | T 5 2
W | F 0 4
W | W
W | F 9 4
W | F 1 2
W | W
W | T 2 2
W | W
S swordsman | S swordsman
W | T 1 9
W | W
S swordsman | W
W | F 3 4
W | W
F 7 5 | W
W | W
W | F 1 0
W | W
W | W
W | T 8 3
T 2 4 | W
F 6 6 | F 4 8
S archer | W
W | W
T 3 4 | W
S swordsman | T 3 2
S swordsman | T 2 5
W | W
W | W
W | F 1 4
F 4 4 | W
W | W
F 7 6 | W
T 3 2 | S archer
W | F 1 6
S swordsman | W
T 3 3 | W
F 1 8 | W
T 2 0 | W
W | W
S archer | W
W | W
W | T 3 8
F 6 9 | W
W | W
F 3 5 | T 5 2
W | W
T 0 0 | W
T 9 3 | W
T 2 4 | W
W | F 3 7
W | W
W | W
W | W
T 8 2 | W
W | W
T 0 2 | W
W | W
W | W
