map:duza_mapa.json
W | W
W | W
W | W
W | W
T 7 5 | W
W | W
S swordsman | W
W | S swordsman
W | W
W | W
W | W
S archer | T 8 8
T 9 0 | W
F 5 7 | S swordsman
W | W
W | W
W | W
W | W
W | W
F 3 2 | F 1 9
W | F 2 4
W | W
W | W
S swordsman | F 1 8
W | S swordsman
W | F 5 5
W | W
T 7 9 | W
W | T 7 3
W | W
W | T 8 0
W | W
W | W
T 1 2 | W
W | T 5 3
W | S swordsman
T 5 5 | W
W | T 5 1
T 6 8 | F 8 7
W | S swordsman
S archer | S swordsman
W | W
T 4 0 | W
F 7 1 | W
F 8 9 | F 3 7
F 4 3 | W
W | F 0 5
W | W
S swordsman | T 6 7
W | W
S swordsman | W
T 5 0 | W
W | T 1 7
W | T 4 1
F 7 3 | T 1 0
W | W
F 8 6 | F 4 7
W | S archer
S swordsman | W
T 4 8 | W
W | W
W | F 3 2
T 0 3 | S swordsman
W | S swordsman
F 7 7 | W
W | W
W | W
T 4 5 | W
W | W
T 5 0 | F 9 7
T 9 2 | T 3 5
T 6 0 | S archer
T 9 2 | W
T 7 9 | S archer
W | W
W | W
F 0 0 | W
W | W
W | W
W | W
W | W
S archer | F 0 9
F 9 4 | W
W | W
W | F 4 4
S swordsman | W
S archer | T 2 8
W | T 2 9
W | F 3 2
W | W
W | W
S archer | S swordsman
W | T 2 3
W | S archer
W | W
W | W
W | T 7 9
W | F 7 4
W | S archer
W | W
W | W
W | T 5 5
T 4 1 | W
W | W
W | W
W | W
W | T 5 8
W | W
F 1 4 | W
W | W
S archer | F 7 1
W | W
T 7 6 | W
W | W
F 4 6 | W
S swordsman | S archer
T 3 0 | W
T 5 6 | S swordsman
W | W
T 9 1 | W
F 3 2 | T 7 3
W | W
S swordsman | W
W | W
F 6 0 | W
W | W
W | W
T 7 5 | S archer
F 7 2 | W
W | F 7 0
W | T 7 1
W | W
F 4 9 | W
W | W
T 3 1 | W
T 7 9 | S archer
W | W
W | W
W | W
T 2 2 | W
T 1 8 | T 0 6
T 7 1 | F 8 3
S archer | S archer
T 9 8 | W
W | W
F 2 2 | W
S swordsman | W
W | W
W | S archer
W | W
F 9 8 | W
F 1 2 | S swordsman
W | S swordsman
T 8 7 | W
W | W
W | F 6 4
W | W
W | S archer
W | W
W | T 0 4
F 4 6 | T 7 9
W | T 8 7
F 3 8 | W
W | F 6 3
W | F 4 7
W | W
W | W
W | T 1 0
T 9 6 | W
W | W
W | W
T 1 8 | W
S swordsman | T 3 8
W | W
W | S swordsman
W | T 5 2
S archer | W
W | W
S archer | W
S archer | W
W | S archer
W | W
T 2 7 | W
W | T 0 4
F 8 8 | W
T 1 1 | W
T 9 4 | W
T 9 1 | T 0 9
W | W
T 2 9 | W
W | W
W | S archer
W | W
W | W
W | W
W | T 4 9
W | S archer
W | S archer
W | F 1 3
W | W
W | W
W | W
T 0 9 | S swordsman
S swordsman | W
F 1 6 | T 8 6
W | S swordsman
W | W
W | W
W | T 4 3
W | W
W | W
T 0 8 | F 4 9
W | W
W | W
S archer | S archer
W | W
W | F 3 3
W | W
W | T 8 1
W | W
W | S archer
W | T 4 9
T 6 4 | W
S archer | S swordsman
W | W
W | W
W | W
T 6 3 | W
W | W
W | W
F 9 0 | T 5 9
S archer | T 4 3
F 7 0 | S swordsman
W | W
W | W
W | W
S archer | W
W | W
F 2 3 | W
F 0 9 | W
W | W
W | W
W | T 8 6
F 3 5 | W
W | W
F 9 1 | W
W | S archer
