map:duza_mapa.json
W | W
W | W
W | W
W | W
W | W
W | W
T 4 6 | S swordsman
F 1 8 | T 3 7
T 2 3 | S swordsman
W | W
W | T 3 0
F 6 7 | F 3 6
W | F 1 9
F 6 6 | W
W | F 5 6
W | W
W | W
W | S swordsman
W | T 0 2
S swordsman | S archer
S swordsman | W
W | F 8 2
W | T 1 6
F 7 8 | T 1 9
W | W
W | W
W | F 0 0
F 5 7 | W
W | T 5 1
S archer | W
W | W
W | W
W | F 7 2
W | W
W | S swordsman
F 3 3 | W
W | W
W | W
W | T 6 0
W | T 9 8
W | W
W | T 2 1
W | S archer
T 9 5 | S archer
W | F 5 7
W | W
W | T 8 1
W | W
T 0 3 | W
W | W
F 9 8 | F 9 2
T 3 2 | W
W | W
W | W
W | F 5 1
T 7 4 | T 8 3
F 6 9 | W
W | W
W | F 0 7
F 7 2 | W
W | W
W | S archer
W | W
