map:nowa_mapa.json
T 2 8 | W
W | W
S swordsman | W
W | W
W | W
S swordsman | W
W | F 4 1
T 0 6 | W
T 8 2 | W
T 7 7 | W
W | F 2 2
W | W
T 7 5 | T 6 4
W | F 5 0
F 8 9 | W
W | T 8 2
F 5 1 | T 6 5
T 2 7 | W
W | F 8 7
F 6 0 | W
S swordsman | F 1 2
S swordsman | W
S swordsman | W
W | S swordsman
W | W
W | W
F 5 5 | W
W | F 7 9
W | T 3 1
W | W
W | F 6 9
W | T 5 7
T 1 1 | T 8 9
