map:duuuza.json
player1:maciek_bot.py
player2:spawn_bot.py
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
S swordsman | S swordsman
F 2 10 | S swordsman
F 2 11 | S swordsman
F 2 12 | S swordsman
F 2 13 | S swordsman
F 2 14 | S swordsman
F 2 15 | S swordsman
F 2 16 | S swordsman
F 2 17 | S swordsman
F 2 18 | S swordsman
F 2 19 | S swordsman
F 3 6 | S swordsman
F 3 7 | S swordsman
F 3 8 | S swordsman
F 3 9 | S swordsman
F 3 10 | S swordsman
F 3 11 | S swordsman
F 3 12 | S swordsman
F 3 13 | S swordsman
F 3 14 | S swordsman
F 3 15 | S swordsman
F 3 16 | S swordsman
F 3 17 | S swordsman
F 3 18 | S swordsman
F 3 19 | S swordsman
F 4 7 | S swordsman
F 4 8 | S swordsman
S swordsman | S swordsman
F 4 9 | S swordsman
F 4 10 | S swordsman
F 4 11 | S swordsman
F 4 12 | S swordsman
F 4 13 | S swordsman
F 4 14 | S swordsman
F 4 15 | S swordsman
F 4 16 | S swordsman
F 4 17 | S swordsman
S swordsman | S swordsman
F 4 18 | S swordsman
F 4 19 | S swordsman
F 5 8 | S swordsman
F 5 9 | S swordsman
F 5 10 | S swordsman
F 5 11 | S swordsman
F 5 12 | S swordsman
F 5 13 | S swordsman
F 5 14 | S swordsman
S swordsman | S swordsman
F 5 15 | S swordsman
F 5 16 | S swordsman
F 5 17 | S swordsman
F 5 18 | S swordsman
F 5 19 | S swordsman
F 6 8 | S swordsman
F 6 9 | S swordsman
F 6 10 | S swordsman
F 6 11 | S swordsman
S swordsman | S swordsman
F 6 12 | S swordsman
F 6 13 | S swordsman
F 6 14 | S swordsman
F 6 15 | S swordsman
F 6 16 | S swordsman
F 6 17 | S swordsman
F 6 18 | S swordsman
F 6 19 | S swordsman
F 7 0 | S swordsman
S swordsman | S swordsman
F 7 8 | S swordsman
F 7 9 | S swordsman
F 7 10 | S swordsman
F 7 11 | S swordsman
F 7 12 | S swordsman
F 7 13 | S swordsman
F 7 14 | S swordsman
F 7 15 | S swordsman
F 7 16 | S swordsman
S swordsman | S swordsman
F 7 17 | S swordsman
F 7 18 | S swordsman
F 7 19 | S swordsman
F 8 0 | S swordsman
F 8 8 | S swordsman
F 8 9 | S swordsman
F 8 10 | S swordsman
F 8 11 | S swordsman
F 8 12 | S swordsman
S swordsman | S swordsman
F 8 13 | S swordsman
F 8 14 | S swordsman
F 8 15 | S swordsman
F 8 16 | S swordsman
F 8 17 | S swordsman
F 8 18 | S swordsman
F 8 19 | S swordsman
F 9 0 | S swordsman
F 9 8 | S swordsman
S swordsman | S swordsman
F 9 9 | S swordsman
F 9 10 | S swordsman
F 9 11 | S swordsman
F 9 12 | S swordsman
F 9 13 | S swordsman
F 9 14 | S swordsman
F 9 15 | S swordsman
F 9 16 | S swordsman
F 9 17 | S swordsman
S swordsman | S swordsman
F 9 18 | S swordsman
F 9 19 | S swordsman
F 10 0 | S swordsman
F 10 8 | S swordsman
F 10 9 | S swordsman
F 10 10 | S swordsman
F 10 11 | S swordsman
F 10 12 | S swordsman
F 10 13 | S swordsman
S swordsman | S swordsman
F 10 14 | S swordsman
F 10 15 | S swordsman
F 10 16 | S swordsman
F 10 17 | S swordsman
F 10 18 | S swordsman
F 10 19 | S swordsman
F 11 0 | S swordsman
F 11 9 | S swordsman
F 11 10 | S swordsman
S swordsman | S swordsman
F 11 11 | S swordsman
F 11 12 | S swordsman
F 11 13 | S swordsman
F 11 14 | S swordsman
F 11 15 | S swordsman
F 11 16 | S swordsman
F 11 17 | S swordsman
F 11 18 | S swordsman
F 11 19 | S swordsman
S swordsman | S swordsman
F 12 0 | S swordsman
F 12 1 | S swordsman
F 12 10 | S swordsman
F 12 11 | S swordsman
F 12 12 | S swordsman
F 12 13 | S swordsman
F 12 14 | S swordsman
F 12 15 | S swordsman
F 12 16 | S swordsman
