map:example_map.json
W | F 3 3
W | W
W | W
F 4 6 | W
F 2 5 | T 4 5
T 2 2 | S archer
T 0 8 | W
W | W
F 7 6 | W
S archer | W
W | T 6 1
F 9 4 | F 8 2
F 1 0 | W
W | F 6 0
W | W
F 4 4 | W
W | W
W | W
F 7 6 | S archer
W | T 0 6
F 3 6 | W
W | W
W | W
W | S archer
T 2 1 | W
S archer | W
W | W
W | S archer
W | W
T 5 6 | S archer
F 5 4 | S archer
W | W
W | T 0 9
T 2 6 | T 3 5
W | F 5 1
W | W
W | W
W | T 7 8
W | W
W | W
W | W
W | W
W | W
