map:example_map.json
W | S swordsman
W | W
T 4 9 | T 2 6
T 1 5 | W
W | W
T 4 4 | S swordsman
W | W
T 6 1 | W
S archer | W
W | T 8 7
W | W
S archer | W
S swordsman | W
W | W
W | W
W | S archer
S swordsman | W
W | W
S archer | T 6 5
W | W
W | F 9 7
W | W
S archer | T 9 4
W | S swordsman
F 5 4 | W
W | F 0 3
W | W
S archer | S swordsman
W | W
S archer | W
W | W
T 1 0 | W
W | T 8 8
S archer | W
S swordsman | W
W | S archer
S swordsman | W
T 5 6 | W
W | W
T 9 0 | W
W | W
W | W
W | W
S archer | W
W | W
W | S archer
W | S swordsman
W | T 4 7
W | W
W | W
W | W
W | F 2 3
W | W
S archer | W
W | W
W | S swordsman
S swordsman | S archer
T 4 7 | W
W | S swordsman
T 2 2 | S swordsman
W | S archer
W | W
W | W
W | W
W | T 5 3
W | W
W | S swordsman
W | W
W | S swordsman
W | F 2 5
T 6 6 | W
W | W
W | T 2 9
F 3 6 | W
W | W
S swordsman | F 8 8
F 7 6 | F 2 1
W | W
W | F 9 0
T 7 4 | W
W | W
W | W
W | W
S swordsman | W
W | W
W | W
W | W
S swordsman | W
F 9 9 | S archer
