map:example_map.json
W | W
F 8 1 | W
W | W
W | W
W | F 0 2
F 6 2 | T 2 5
W | W
W | W
W | W
W | F 5 7
W | W
S archer | W
F 3 8 | W
S archer | W
W | S archer
T 9 4 | W
S swordsman | W
T 8 3 | W
W | W
W | T 0 9
T 4 2 | W
W | W
W | S swordsman
S archer | W
S swordsman | F 7 9
F 8 7 | W
W | W
W | T 9 5
W | S archer
S archer | W
T 7 8 | W
F 2 9 | T 0 7
F 6 0 | F 7 8
W | W
W | T 7 4
F 6 3 | W
S swordsman | W
W | W
F 0 8 | F 3 8
T 2 6 | W
S swordsman | W
W | W
T 9 6 | S swordsman
S archer | W
W | F 7 9
S archer | S swordsman
T 1 9 | W
W | T 0 3
W | W
W | W
W | T 2 0
F 7 9 | F 7 2
W | W
W | W
W | W
W | F 4 6
