map:example_map.json
W | W
T 3 0 | W
T 3 4 | W
W | S archer
F 4 6 | W
T 0 2 | W
W | W
W | S archer
W | W
F 2 4 | W
W | W
W | S archer
T 9 3 | T 4 9
S swordsman | W
W | F 9 8
F 6 3 | W
T 7 3 | F 8 0
W | S archer
W | W
W | W
F 3 1 | W
W | W
W | S swordsman
W | F 5 6
W | W
S archer | F 9 1
W | W
S swordsman | F 6 1
W | W
F 8 0 | S archer
T 5 8 | S archer
W | W
W | W
F 3 1 | W
S swordsman | W
W | F 9 6
W | W
W | W
W | F 6 4
W | F 4 5
W | W
S archer | T 1 6
S swordsman | F 1 2
W | W
S archer | W
T 7 9 | W
T 7 4 | W
T 9 5 | F 3 9
S archer | F 4 1
W | F 6 0
W | T 4 2
W | T 9 4
F 0 1 | W
W | W
W | W
T 7 9 | W
W | S archer
S swordsman | W
W | F 0 1
T 9 1 | W
W | W
T 1 0 | W
W | W
